,Dates,Company,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,ESG_DISCLOSURE_SCORE,RETURN_ON_ASSET,RETURN_COM_EQY,ALTMAN_Z_SCORE,TOBIN_Q_RATIO,NET_OPER_PROFIT_AFTER_TAX
0,2003-03-31,RELIANCE,,,,,6.6316,13.6836,1.9182,1.126,44646.6926
1,2004-03-31,RELIANCE,,,,,7.6018,15.7704,2.4134,1.5575,52242.345
2,2005-03-31,RELIANCE,,,,,9.9542,20.045,2.5853,1.4304,75091.1009
3,2006-03-31,RELIANCE,32.5883,11.8501,68.0012,37.5214,10.549,20.4039,3.264,1.6174,93842.3959
4,2007-03-31,RELIANCE,40.2597,17.0496,71.4931,42.9735,6.5517,13.459,2.6445,1.8288,103826.5956
5,2008-03-31,RELIANCE,40.2597,18.6215,71.4931,43.4966,17.6519,25.397,6.3089,5.4065,172859.5808
6,2009-03-31,RELIANCE,47.0251,18.6215,86.7851,50.8601,9.38,14.4788,2.1325,1.3592,152645.9955
7,2010-03-31,RELIANCE,40.2597,18.6215,86.7851,48.6068,9.6942,18.6862,3.0345,1.6896,161932.2767
8,2011-03-31,RELIANCE,40.2597,18.6215,86.7851,48.6068,6.806,13.0758,3.071,1.5159,189667.1623
9,2012-03-31,RELIANCE,38.8402,21.7956,86.7851,49.1902,6.2151,12.1924,2.8874,1.1655,173532.5701
10,2013-03-31,RELIANCE,45.6056,21.7956,81.7881,49.7737,6.0559,11.8799,2.736,1.1239,173321.0573
11,2014-03-31,RELIANCE,45.6056,25.1814,81.7881,50.9003,5.6858,11.8154,2.4722,1.1747,186801.2002
12,2015-03-31,RELIANCE,60.2235,29.5647,82.36,57.4188,5.0499,11.2976,1.8092,1.0488,197954.7985
13,2016-03-31,RELIANCE,58.1999,29.5647,82.36,56.7448,5.3911,13.2184,1.2414,1.1278,325243.388
14,2017-03-31,RELIANCE,36.8167,29.1717,82.36,49.492,4.5604,12.0747,1.1646,1.1785,327817.2311
15,2018-03-31,RELIANCE,58.1999,30.9855,84.8585,58.0525,4.7197,12.9483,1.2711,1.2808,419147.3152
16,2019-03-31,RELIANCE,44.0652,22.8235,84.8585,50.6287,4.3533,11.633,1.6766,1.4197,516610.7344
17,2020-03-31,RELIANCE,37.2999,29.5647,84.8585,50.6187,3.6299,9.3651,1.3105,1.2167,594934.0745
18,2021-03-31,RELIANCE,40.441,29.5647,84.8585,51.6648,3.9506,8.5181,2.3769,1.4953,566022.5066
19,2022-03-31,RELIANCE,46.0888,34.7642,89.8555,56.946,4.304,8.2053,2.8206,1.6689,680668.7706
20,2023-03-31,RELIANCE,46.0888,34.7642,89.8555,56.946,4.2935,8.9212,2.3649,1.5358,800310.0738
21,2003-03-31,TCS,,,,,,,,,10465.7373
22,2004-03-31,TCS,,,,,46.5594,95.184,,,16168.3621
23,2005-03-31,TCS,,,,,43.7576,71.3497,28.5989,13.3402,22923.0926
24,2006-03-31,TCS,,,,,44.7078,63.7212,32.8924,12.0115,29355.9519
25,2007-03-31,TCS,5.527,10.127,64.8706,26.8886,39.8019,57.3764,21.7825,9.4859,40772.3178
26,2008-03-31,TCS,30.2024,33.0109,64.8706,42.7221,32.688,47.7519,13.3038,4.8207,45300.8292
27,2009-03-31,TCS,34.4609,31.9831,71.1318,45.8908,26.1496,37.7569,8.7667,2.639,57777.0338
28,2010-03-31,TCS,36.1824,33.7969,68.0012,46.0215,27.9849,41.1039,14.3554,5.907,70466.5044
29,2011-03-31,TCS,37.904,37.9686,68.0012,47.9831,30.1889,42.3425,21.7758,7.3435,86096.6206
30,2012-03-31,TCS,37.904,37.9686,68.0012,47.9831,28.1402,38.5566,15.9905,5.8216,101983.6436
31,2013-03-31,TCS,37.904,28.3555,65.5027,43.9493,29.7702,40.8529,18.2335,6.173,132071.6487
32,2014-03-31,TCS,36.1824,29.9274,65.5027,43.899,31.5771,40.7257,23.6399,6.2602,181165.909
33,2015-03-31,TCS,36.1824,26.7836,72.3359,45.1363,27.8484,37.4676,17.3267,7.1038,174669.4784
34,2016-03-31,TCS,52.5521,29.5647,72.3359,51.5139,29.374,39.112,20.9193,5.6421,220059.3637
35,2017-03-31,TCS,52.5521,30.5925,78.5972,53.9483,26.7483,32.5552,21.2912,4.7099,231579.3087
36,2018-03-31,TCS,39.3537,34.1294,78.5972,50.7293,24.1633,29.422,19.7562,5.2263,231547.5067
37,2019-03-31,TCS,46.27,27.3579,91.1198,54.9643,27.9178,35.2042,22.2247,6.6345,284386.8104
38,2020-03-31,TCS,39.1121,32.0738,91.1198,54.1495,27.182,36.8165,15.3336,5.9719,296299.2946
39,2021-03-31,TCS,49.8037,35.7013,91.1198,58.9176,25.5576,37.5606,20.0061,9.1799,307039.718
40,2022-03-31,TCS,51.5252,34.1294,91.1198,58.9679,27.9356,43.1382,19.7901,10.0403,360432.8742
41,2023-03-31,TCS,51.5252,34.1294,91.1198,58.9679,29.3418,46.3967,17.6301,8.4125,403182.0006
42,2003-03-31,HDFCB,,,,,,,,,
43,2004-03-31,HDFCB,,,,,,,,,
44,2005-03-31,HDFCB,,,,,,,,,
45,2006-03-31,HDFCB,,,,,,,,1.2934,19869.5
46,2007-03-31,HDFCB,,,,,1.3959,19.5115,,1.2934,28112.5
47,2008-03-31,HDFCB,,,,,1.421,17.7177,,0.7215,30890.9523
48,2009-03-31,HDFCB,,,,,1.4207,16.8908,,1.1435,41349.835
49,2010-03-31,HDFCB,0.3322,3.2044,83.0223,28.9206,1.4784,16.3627,,1.3,51845.472
50,2011-03-31,HDFCB,0.3322,3.2044,74.6237,26.1141,1.5941,16.9156,,1.3006,59685.684
51,2012-03-31,HDFCB,0.6645,7.3761,83.0223,30.4195,1.6953,18.8076,,1.2691,71730.022
52,2013-03-31,HDFCB,1.0873,7.3761,83.0223,30.5603,1.8349,20.5513,,1.2751,86544.818
53,2014-03-31,HDFCB,38.9006,15.4776,89.2836,47.9429,1.9188,21.6398,,1.269,104963.573
54,2015-03-31,HDFCB,38.9006,20.6771,89.8555,49.8642,1.9247,19.9195,,1.3182,129742.978
55,2016-03-31,HDFCB,38.9006,23.4583,89.8555,50.7897,1.8698,18.6258,,1.2578,157996.728
56,2017-03-31,HDFCB,39.7463,26.0278,89.8555,51.9264,1.8438,18.3663,,1.3114,192852.415
57,2018-03-31,HDFCB,39.7463,26.4813,89.8555,52.0773,1.8551,18.382,,1.3443,251377.531
58,2019-03-31,HDFCB,39.7463,27.5091,92.354,53.2542,1.8641,16.9653,,1.3696,308270.4357
59,2020-03-31,HDFCB,44.9411,27.9021,92.354,55.1152,1.8968,16.516,,1.1874,387390.553
60,2021-03-31,HDFCB,43.2196,51.5719,92.354,62.4183,1.8834,16.4867,,1.341,463424.781
61,2022-03-31,HDFCB,40.0785,56.711,92.354,63.0822,1.9403,16.6483,,1.2676,519325.8
62,2023-03-31,HDFCB,40.0785,56.711,92.354,63.0822,1.9769,17.1387,,1.2405,601941.7
63,2003-03-31,ICICIBC,,,,,1.0654,18.1349,,1.0141,
64,2004-03-31,ICICIBC,,,,,1.316,21.9069,,1.0802,16573.303
65,2005-03-31,ICICIBC,,,,,1.5497,23.9202,,1.0934,24430.883
66,2006-03-31,ICICIBC,,,,,1.1027,21.0135,,1.1599,24430.883
67,2007-03-31,ICICIBC,,,,,0.8689,23.9578,,1.1719,24430.883
68,2008-03-31,ICICIBC,,,,,0.7897,11.9218,,1.0842,57985.3781
69,2009-03-31,ICICIBC,0.0,10.1572,80.5238,30.2887,0.7388,7.7887,,0.9791,72847.391
70,2010-03-31,ICICIBC,0.0,10.1572,74.6237,28.3171,0.9609,9.4902,,1.1122,93127.773
71,2011-03-31,ICICIBC,0.0,10.1572,72.1252,27.4821,1.1911,11.4321,,1.1372,93127.773
72,2012-03-31,ICICIBC,0.0,10.1572,83.0223,31.1236,1.3257,13.112,,1.0668,93127.773
73,2013-03-31,ICICIBC,0.0,10.1572,83.0223,31.1236,1.4842,14.7704,,1.0768,93127.773
74,2014-03-31,ICICIBC,0.0,10.1572,83.0223,31.1236,1.5523,15.2093,,1.0901,93127.773
75,2015-03-31,ICICIBC,0.4228,22.1282,83.5942,35.4391,1.5563,15.2008,,1.1189,93127.773
76,2016-03-31,ICICIBC,0.4228,22.1282,83.5942,35.4391,1.1669,11.386,,1.0473,93127.773
77,2017-03-31,ICICIBC,0.4228,23.156,83.5942,35.7811,1.0699,10.2528,,1.0574,93127.773
78,2018-03-31,ICICIBC,5.1948,23.156,83.5942,37.3705,0.731,7.1654,,1.0608,238236.547
79,2019-03-31,ICICIBC,9.7554,23.156,83.5942,38.8894,0.3601,3.7835,,1.1162,238236.547
80,2020-03-31,ICICIBC,6.6445,26.7533,83.5942,39.0504,0.7313,8.0656,,1.0629,201655.98
81,2021-03-31,ICICIBC,5.5874,26.7533,83.5942,38.6983,1.2459,13.106,,1.1557,313088.7952
82,2022-03-31,ICICIBC,14.6783,26.7533,83.5942,41.7262,1.5097,14.7863,,1.1857,323232.1582
83,2023-03-31,ICICIBC,14.6783,26.7533,83.5942,41.7262,1.8343,17.1664,,1.2033,343316.5113
84,2003-03-31,INFO,,,,,33.1561,36.4794,53.4874,8.1164,8711.7099
85,2004-03-31,INFO,,,,,29.4355,34.2229,28.8871,6.8243,11338.0724
86,2005-03-31,INFO,,,,,32.3705,39.9245,44.7098,6.8243,17901.1988
87,2006-03-31,INFO,,,,,30.4749,40.0175,23.8379,9.0158,23815.6483
88,2007-03-31,INFO,,,,,33.8409,42.3248,35.1708,8.7599,36647.8063
89,2008-03-31,INFO,11.1749,12.0012,80.5238,34.6243,29.6799,37.1976,14.8065,4.8122,40882.3952
90,2009-03-31,INFO,16.9133,13.029,80.5238,36.8776,29.8289,37.3678,15.1091,3.5982,59585.2382
91,2010-03-31,INFO,40.894,17.6844,86.7851,48.5062,24.9884,29.3855,29.0288,5.5377,54160.4051
92,2011-03-31,INFO,40.894,17.6844,86.7851,48.5062,23.2069,27.3132,24.2603,6.0876,59165.8123
93,2012-03-31,INFO,45.7566,19.2563,86.7851,50.6488,23.8825,27.9826,23.9232,4.3983,69237.124
94,2013-03-31,INFO,45.7566,27.9927,86.7851,53.556,22.2458,25.7201,18.8093,3.7033,74930.3965
95,2014-03-31,INFO,44.035,31.3482,86.7851,54.0992,20.5945,24.3865,15.3717,3.4546,85495.2604
96,2015-03-31,INFO,46.421,33.4341,87.357,55.7791,19.981,24.1053,16.5716,3.9954,95421.5164
97,2016-03-31,INFO,46.421,36.0036,87.357,56.6341,19.0361,23.1522,15.7786,3.8741,111220.4893
98,2017-03-31,INFO,46.421,43.8029,87.357,59.2295,18.0832,21.953,13.1337,2.9755,121587.9169
99,2018-03-31,INFO,49.2902,52.9323,89.8555,64.0579,19.638,23.9409,13.2158,3.2663,135602.0187
100,2019-03-31,INFO,40.6826,54.5042,89.8555,61.7141,18.7137,23.722,13.2165,4.0397,138273.276
101,2020-03-31,INFO,46.6626,41.7473,89.8555,59.4608,18.6968,25.4513,9.2903,3.227,146482.4765
102,2021-03-31,INFO,55.6025,48.0955,89.8555,64.5509,19.24,27.2932,14.2337,5.6538,179597.8316
103,2022-03-31,INFO,70.2809,56.1064,96.1168,74.1978,19.5429,29.1494,14.5265,7.1432,206051.2089
104,2023-03-31,INFO,70.2809,56.1064,96.1168,74.1978,19.7742,31.9653,10.2805,5.0953,223223.3437
105,2003-03-31,HUVR,,,,,21.2703,57.5191,6.9725,6.2912,14988.4653
106,2004-03-31,HUVR,,,,,15.1797,56.0218,5.5626,4.7676,11579.8727
107,2005-03-31,HUVR,,,,,18.6942,62.9564,8.3166,7.1645,12214.4625
108,2006-03-31,HUVR,,,,,26.6114,78.8875,8.5635,7.0026,14802.7952
109,2007-03-31,HUVR,5.5874,0.4534,61.1078,22.4324,26.3676,92.694,7.9653,7.4265,15990.7648
110,2008-03-31,HUVR,5.5874,4.2624,68.0012,26.0034,26.3676,92.694,4.8023,6.7355,15990.7648
111,2009-03-31,HUVR,7.2486,4.2624,70.4997,27.3916,23.4831,89.7399,7.3046,6.1056,20513.5643
112,2010-03-31,HUVR,21.6249,4.2624,70.4997,32.1799,22.8903,84.9778,7.8998,6.7271,19644.2396
113,2011-03-31,HUVR,23.3464,8.4643,70.4997,34.1515,25.6553,86.9902,10.2569,8.4472,25127.8716
114,2012-03-31,HUVR,16.4603,8.8573,83.0223,36.1734,32.5883,116.9895,9.9322,9.1139,29966.0069
115,2013-03-31,HUVR,16.4603,11.4268,83.0223,37.0285,30.5314,123.2594,11.0214,10.2645,33690.8577
116,2014-03-31,HUVR,16.4603,19.1959,83.5942,39.8048,30.9614,115.3526,14.4753,13.818,35523.6817
117,2015-03-31,HUVR,16.4603,16.6264,83.5942,38.9498,28.3261,78.0908,17.813,13.274,38867.4938
118,2016-03-31,HUVR,16.4603,16.6264,83.5942,38.9498,29.3508,67.2223,17.212,13.1349,40872.3476
119,2017-03-31,HUVR,16.4603,16.6264,86.0927,39.7847,31.0653,74.3529,20.2814,16.75,49725.0753
120,2018-03-31,HUVR,17.3059,20.7981,86.0927,41.4546,33.1808,79.9313,25.0686,20.4109,58284.5049
121,2019-03-31,HUVR,17.6382,24.3954,86.0927,42.7623,34.7996,83.8469,29.2938,25.227,65044.6223
122,2020-03-31,HUVR,17.9704,20.8888,86.0927,41.7061,17.9845,28.6031,20.3033,8.6156,79202.6834
123,2021-03-31,HUVR,18.3026,24.5163,86.0927,43.0238,12.7504,18.3574,17.7225,7.1303,87671.6827
124,2022-03-31,HUVR,18.3026,24.5163,86.0927,43.0238,14.0943,20.3693,20.4485,8.5427,98928.7508
125,2023-03-31,HUVR,,,,,,,,,
126,2003-03-31,ITC,,,,,17.5452,28.0718,4.7941,2.194,12918.7078
127,2004-03-31,ITC,,,,,16.7191,26.8063,5.6051,2.8516,14839.8859
128,2005-03-31,ITC,,,,,17.0486,26.2802,7.1921,3.1614,17757.0653
129,2006-03-31,ITC,,,,,18.2501,26.7517,12.7058,5.7752,21536.7839
130,2007-03-31,ITC,31.199,25.393,75.5268,44.0801,19.1122,27.7356,9.4094,3.998,25368.0055
131,2008-03-31,ITC,35.0951,25.393,78.6574,46.4239,19.035,27.5373,10.6859,4.6843,27916.3374
132,2009-03-31,ITC,50.891,27.9625,78.6574,52.54,17.5415,25.2667,9.0112,3.7672,31966.3466
133,2010-03-31,ITC,56.2368,30.532,89.2836,58.7265,18.9642,29.2643,8.4399,4.6103,39800.4573
134,2011-03-31,ITC,57.6563,28.7183,89.2836,58.5957,19.9841,32.4279,10.6643,5.7121,47767.7672
135,2012-03-31,ITC,60.4953,30.532,89.2836,60.1449,22.1503,34.8173,12.3428,6.247,58683.7989
136,2013-03-31,ITC,56.569,32.104,89.2836,59.3602,23.2467,35.7048,14.5418,7.2615,71651.6141
137,2014-03-31,ITC,56.569,33.9178,89.2836,59.9638,23.3255,35.2869,14.9264,7.1978,83904.7884
138,2015-03-31,ITC,63.6364,41.4148,89.8555,65.0035,22.2462,32.7718,13.6155,5.989,88892.8473
139,2016-03-31,ITC,66.7774,42.9867,89.8555,66.5728,19.1323,25.1144,20.6349,5.2844,85973.1751
140,2017-03-31,ITC,65.3579,42.9867,89.8555,66.1,19.1191,23.0983,24.6165,6.2567,93868.9047
141,2018-03-31,ITC,61.9148,42.9867,89.8555,64.9532,18.7491,22.7878,18.6357,5.0335,100348.8488
142,2019-03-31,ITC,63.3343,42.9867,89.8555,65.426,18.5063,22.5566,20.1297,5.2514,114399.1615
143,2020-03-31,ITC,66.7774,37.5453,89.8555,64.7621,20.5225,24.6053,13.3058,2.8843,138269.8844
144,2021-03-31,ITC,69.6164,38.815,89.8555,66.1302,17.4106,20.9539,14.6843,3.8258,115114.9461
145,2022-03-31,ITC,67.8949,38.815,89.8555,65.5568,20.1784,24.8246,15.4269,4.1896,141191.1616
146,2023-03-31,ITC,67.8949,38.815,89.8555,65.5568,23.5275,29.1643,20.2841,5.7444,179327.5143
147,2003-03-31,HDFC,,,,,2.8053,24.0295,,1.1677,7038.1787
148,2004-03-31,HDFC,,,,,2.9443,26.0309,,1.3352,8787.1072
149,2005-03-31,HDFC,,,,,2.7957,27.237,,1.3095,10224.7135
150,2006-03-31,HDFC,,,,,2.619,29.4724,,1.4901,12323.0334
151,2007-03-31,HDFC,,,,,2.5925,30.6137,,1.419,19643.8109
152,2008-03-31,HDFC,,,,,3.1302,28.1778,,1.565,27578.4821
153,2009-03-31,HDFC,,,,,2.1577,16.649,,1.2152,22993.5
154,2010-03-31,HDFC,0.0,0.6348,63.0042,21.2655,2.4824,19.5615,,1.4157,33222.5
