,0
0,RELIANCE
1,TCS
2,INFO
3,HUVR
4,ITC
5,BHARTI
6,LT
7,HCLT
8,APNT
9,MSIL
10,ADE
11,TTAN
12,SUNP
13,DMART
14,UTCEM
15,TTMT
16,ONGC
17,NTPC
18,WPRO
19,NEST
20,MM
21,JSTL
22,ADSEZ
23,PWGR
24,LTIM
25,TATA
26,ADANIGR
27,COAL
28,SIEM
29,HZ
30,BJAUT
31,HNAL
32,PIDI
33,IOCL
34,DLFU
35,ADANI
36,GRASIM
37,TECHM
38,VBL
39,BRIT
40,HNDL
41,GCPL
42,CIPLA
43,DABUR
44,BHE
45,DIVI
46,INDIGO
47,DRRD
48,ABB
49,EIM
50,ADANIENS
51,HAVL
52,VEDL
53,SRCM
54,ACEM
55,ZOMATO
56,TPWR
57,TATACONS
58,POLYCAB
59,GAIL
60,BPCL
61,MRCO
62,UNSP
63,TRENT
64,ATGL
65,SRF
66,JSP
67,BRGR
68,APHS
69,TVSL
70,CGPOWER
71,MOTHERSO
72,LODHA
73,ZYDUSLIF
74,TRP
75,IH
76,HMCL
77,JSW
78,MAXHEALT
79,INFOE
80,PI
81,BOS
82,AL
83,IRCTC
84,LIIL
85,CLGT
86,ASTRA
87,PG
88,TCOM
89,NHPC
90,LPC
91,BHFC
92,BOOT
93,ARBP
94,SCHFL
95,KKC
96,INDUSTOW
97,AWLTD
98,LTTS
99,APAT
100,MRF
101,MPHL
102,GPL
103,TELX
104,BIL
105,PAG
106,PATANJAL
107,UPLL
108,IDEA
109,SOIL
110,ALKEM
111,BHEL
112,PSYS
113,CCRI
114,OBER
115,UBBL
116,DALBHARA
117,NYKAA
118,ACC
119,SAIL
120,JDSL
121,GMRI
122,NMDC
123,OFSS
124,HPCL
125,3M
126,HWA
127,ESCORTS
128,SONACOMS
129,AIAE
130,SUEL
131,UNOMINDA
132,JUBI
133,TMX
134,COFORGE
135,IGL
136,PLNG
137,PHNX
138,CRIN
139,TPW
140,BIOS
141,SYNG
142,GUJGA
143,DN
144,FCT
145,DIXON
146,OINL
147,EMBASSY
148,VOLT
149,GLAND
150,LLOYDSME
151,TTCH
152,KNPL
153,SF
154,HTSMF
155,ZCVCS
156,PEPL
157,SKF
158,JKCE
159,GWN
160,Z
161,FORH
162,APTY
163,SJVN
164,TMKN
165,SUNTV
166,GLXO
167,RLXF
168,KJC
169,ENDU
170,HMN
171,NFIL
172,EXID
173,IPCA
174,AJP
175,BATA
176,ATLP
177,GNP
178,BYRCS
179,CU
180,LAURUS
181,JBCP
182,ABFRL
183,WHIRL
184,TRCL
185,CIEINDIA
186,CROMPTON
187,APR
188,VO
189,INMART
190,RMT
191,GILL
192,DLPL
193,CYL
194,GDSP
195,NLC
196,ARTO
197,PVRINOX
198,PFIZ
199,KECI
200,TTLS
201,IRB
202,EIH
203,RDCK
204,FNXC
205,MRPL
206,LMW
207,NTCPH
208,SANL
209,GUJS
210,ELEQ
211,HCP
212,ALPM
213,CPBI
214,BDE
215,FNXP
216,RJEX
217,SSOF
218,WESTLIFE
219,DCMS
220,AISG
221,CSTRL
222,BLSTR
223,HAPPSTMN
224,BSOFT
225,BRGD
226,VGRD
227,BJE
228,RW
229,AGIS
230,JYL
231,AACL
232,AKZO
233,TRIV
234,CRS
235,REDI
236,WLSI
237,ZENT
238,CENT
239,CHMB
240,RMKF
241,BASF
242,FSOL
243,VTEX
244,JSAW
245,GP
246,CESC
247,GESCO
248,TTKPT
249,USM
250,AMRJ
251,KPIL
252,NJCC
253,ASTR
254,HMFC
255,ZYWL
256,TITAGARH
257,BEML
258,OLECTRA
259,INGR
260,MAHGL
261,INDA
262,SHRS
263,ALOK
264,HSCH
265,AMBER
266,KRB
267,GNFC
268,VIP
269,SPPT
270,NBCC
271,GRIL
272,CEAT
273,PRJ
274,BCORP
275,MLIFE
276,ENGR
277,WLCO
278,PNCL
279,SCHN
280,EID
281,GETD
282,GODPI
283,SPADV
284,ION
285,TV18
286,CCLP
287,MHRL
288,SWAN
289,SHOP
290,ECLX
291,JKLC
292,GMDC
293,BRCM
294,SEML
295,DFPC
296,JUBLPHAR
297,ICEM
298,BLA
299,MHS
300,GRAN
301,NETM
302,RPWR
303,ARCP
304,KOEL
305,GSFC
306,BBTC
307,VI
308,SECIS
309,SOTL
310,HEG
311,AGLL
312,KKB
313,RCF
314,JKI
315,PCBL
316,KKF
317,RELI
318,PRSMJ
319,MMTC
320,FDCLT
321,TRPC
322,GPPV
323,MRL
324,KNM
325,JKPAPER
326,NAVA
327,SYML
328,SCI
329,GHCL
330,VRLL
331,SOBHA
332,BORORENE
333,VST
334,JPVL
335,RINDL
336,TC
337,GRAV
338,DBRL
339,ARTD
340,SRIN
341,SYR
342,GALK
343,MRKS
344,IGSEC
345,NSE
346,LOG
347,MOIL
348,DELTA
349,TIIL
350,AGIG
351,TXMRE
352,HGSL
353,ARVND
354,TCO
355,RALI
356,FML
357,PRIVISCL
358,PEC
359,HCC
360,JFI
361,IBREL
362,GRFL
363,HEIM
364,JBIL
365,KKPC
366,PTCIN
367,ELSC
368,SHCR
369,TLNGR
370,DBCL
371,TPC
372,STR
373,HLEGLAS
374,ORCMNT
375,JI
376,WCPM
377,IFBI
378,RGW
379,ASTM
380,NOCIL
381,BAJAJCON
382,RTPOW
383,HKCI
384,SUNF
385,DAGRI
386,WONH
387,TATASLPL
388,SCHI
389,GRV
390,NELI
391,UFLX
392,KPDL
393,BCG
394,WPL
395,JCHAC
396,DITV
397,TIME
398,NFL
399,SLPA
400,EVRIN
401,VATW
402,GW
403,BJH
404,KSCL
405,SOMC
406,MAIT
407,JDPF
408,NGE
409,SGC
410,UL
411,INDR
412,HATH
413,TML
414,ASBL
415,SNGI
416,KSI
417,ORCP
418,OMDC
419,CFIN
420,APCO
421,BD
422,HONDAPWR
423,MUK
424,BLCL
425,NRBBR
426,DYTC
427,BFUT
428,JPA
429,PRIF
430,PURVA
431,ICP
432,MUNI
433,TMC
434,ACCELYA
435,JAGP
436,FSC
437,IGLY
438,BEPL
439,HIL
440,GALL
441,STEC
442,MMFG
443,HOE
444,VCL
445,KS
446,GOCL
447,ASFI
448,ASMN
449,PKI
450,DEN
451,MTLM
452,ATFL
453,SPB
454,SM
455,STYRENIX
456,SEPC
457,SJET
458,EVI
459,NELCO
460,JSWISPL
461,HCBA
462,ANHPR
463,TNNP
464,KAUN
465,RAMCO
466,PSL
467,VKI
468,DCW
469,SKPI
470,GLIN
471,IGPL
472,RIIL
473,TRIL
474,63MOONS
475,REFX
476,KCPL
477,HMT
478,INST
479,PCCP
480,KIRI
481,SPET
482,MTNL
483,SVLS
484,DIGV
485,DPSC
486,STRT
487,TVTN
488,ANY
489,KTG
490,AREAL
491,MCF
492,OAL
493,EKCL
494,BCHI
495,PCJL
496,PRE
497,EXL
498,MPCH
