,Entity,year,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,ESG_DISCLOSURE_SCORE,ALTMAN_Z_SCORE,RETURN_COM_EQY,PE_RATIO,TOBIN_Q_RATIO,NUMBER_OF_DIRECTORS_ON_BOARD,INDEPENDENT_DIRECTORS,CEO_DUALITY,BOARD_MEETING_ATTENDANCE_PCT,PCT_INDEPENDENT_DIRECTORS,PCT_IND_DIRECTORS_ON_AUDIT_CMTE,NUM_IND_DIR_ON_CMPNSTN_CMTE,PCT_OF_IND_DIRECTORS_ON_NOM_CMTE,CLASSIFIED_BOARD_SYSTEM,PCT_WOMEN_ON_BOARD,BOARD_DURATION,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_ASSET,IS_RD_EXPEND
0,RIL,31-03-2006,35.66,28.07,46.43,36.36,3.26,20.4,11.67,1.62,0.0,7.0,1.0,92.91,58.33,0.0,0.0,0.0,0.0,0.0,0.0,10.549,24.1,1103.4
1,RIL,31-03-2007,47.29,38.6,62.5,48.76,3.24,20.25,16.5,1.93,0.0,7.0,1.0,95.37,58.33,0.0,0.0,0.0,0.0,0.0,0.0,10.527,25.39,3247.0
2,RIL,31-03-2008,47.29,47.37,62.5,50.83,3.62,25.4,16.87,2.39,0.0,8.0,1.0,95.56,61.54,100.0,4.0,100.0,1.0,0.0,0.0,12.697,28.98,3082.4
3,RIL,31-03-2009,47.29,47.37,73.21,53.31,2.14,14.48,14.09,1.36,0.0,8.0,1.0,93.41,61.54,100.0,4.0,100.0,1.0,0.0,3.0,7.1104,30.99,3367.4
4,RIL,31-03-2010,47.29,47.37,67.86,52.07,3.04,18.69,13.05,1.69,0.0,7.0,1.0,85.05,53.85,100.0,3.0,100.0,1.0,0.0,3.0,9.6942,24.9,3450.4
5,RIL,31-03-2011,47.29,47.37,67.86,52.07,3.07,13.08,16.2,1.52,0.0,7.0,1.0,87.5,53.85,100.0,3.0,100.0,1.0,0.0,3.0,6.806,27.36,5172.1
6,RIL,31-03-2012,46.51,49.12,67.86,52.07,2.89,12.19,11.35,1.17,13.0,7.0,1.0,88.46,53.85,100.0,3.0,100.0,1.0,0.0,3.0,6.2151,28.25,9890.0
7,RIL,31-03-2013,59.69,49.12,64.29,58.26,2.74,11.88,10.91,1.12,13.0,7.0,1.0,93.84,53.85,100.0,4.0,100.0,1.0,0.0,3.0,6.0559,29.59,11180.0
8,RIL,31-03-2014,56.59,57.89,64.29,58.68,2.47,11.82,12.16,1.17,14.0,8.0,1.0,95.23,57.14,100.0,4.0,100.0,1.0,0.0,3.0,5.6858,32.36,12180.5
9,RIL,31-03-2015,46.51,57.89,64.29,53.31,1.81,11.3,10.31,1.05,13.0,7.0,1.0,92.85,53.85,100.0,4.0,100.0,1.0,7.692,3.0,5.0499,31.89,12200.0
10,RIL,31-03-2016,47.29,57.89,64.29,53.72,1.16,13.22,10.35,1.13,14.0,8.0,1.0,91.56,61.54,100.0,4.0,100.0,1.0,7.692,3.0,5.3911,30.16,12590.0
11,RIL,31-03-2017,27.13,49.12,64.29,40.91,1.11,12.07,13.04,1.18,14.0,8.0,1.0,92.85,57.14,100.0,4.0,100.0,1.0,7.143,5.0,4.5604,27.6,14480.0
12,RIL,31-03-2018,48.06,49.12,64.29,52.07,1.22,12.95,14.48,1.28,14.0,8.0,1.0,100.0,57.14,100.0,5.0,100.0,1.0,7.143,5.0,4.7197,26.8,18240.0
13,RIL,31-03-2019,48.06,49.12,64.29,52.07,1.64,11.63,20.4,1.42,15.0,8.0,1.0,95.96,57.14,100.0,5.0,100.0,1.0,14.286,5.0,4.3533,28.68,23770.0
14,RIL,31-03-2020,46.99,57.53,67.01,54.1,1.06,8.95,13.74,0.99,15.0,8.0,1.0,96.17,56.34,100.0,5.0,100.0,1.0,12.5829,5.0,4.070358088,28.84,21263.12
15,RIL,31-03-2021,47.04,58.77,67.39,54.51,0.88,8.15,13.75,0.94,15.0,8.0,1.0,96.71,56.26,100.0,5.0,100.0,1.0,13.8468,5.0,3.714761275,28.87,22840.82
16,RIL,31-03-2022,47.1,60.0,67.77,54.92,0.7,7.35,13.76,0.88,15.0,8.0,1.0,97.24,56.18,100.0,5.0,100.0,1.0,15.1107,5.0,3.359164461,28.9,24418.52
17,RIL,31-03-2023,47.16,61.24,68.16,55.33,0.52,6.55,13.77,0.82,16.0,8.0,1.0,97.78,56.1,100.0,5.0,100.0,1.0,16.3746,6.0,3.003567647,28.93,25996.22
18,TCS,31-03-2006,0.0,0.0,0.0,0.0,27.1042,62.6136,31.5924,11.1874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.6832,1.3551,320.4
19,TCS,31-03-2007,8.5271,22.807,42.8571,19.8347,21.7763,56.7399,28.6628,9.4859,0.0,6.0,0.0,89.28,75.0,0.0,0.0,0.0,0.0,12.5,0.0,38.6523,3.843,280.2
20,TCS,31-03-2008,32.5581,43.8596,57.1429,40.9091,13.3021,47.7519,15.7798,4.8207,0.0,6.0,0.0,85.71,54.55,100.0,2.0,66.67,1.0,9.09,0.0,32.688,2.5904,387.8
21,TCS,31-03-2009,41.8605,43.8596,62.5,47.1074,8.7667,37.7569,10.042,2.639,0.0,6.0,0.0,85.71,54.546,100.0,2.0,66.667,1.0,9.091,0.0,26.1496,2.4909,489.5
22,TCS,31-03-2010,43.4109,49.1228,73.2143,51.6529,14.3554,41.1039,21.8853,5.907,0.0,6.0,0.0,89.42,50.0,100.0,2.0,66.667,1.0,8.333,0.0,27.9849,0.3769,844.4
23,TCS,31-03-2011,44.9612,49.1228,73.2143,52.4793,21.7758,42.3425,25.5868,7.3435,0.0,6.0,0.0,96.42,50.0,80.0,2.0,66.667,1.0,8.333,0.0,30.1889,0.2289,1061.3
24,TCS,31-03-2012,50.3876,43.8596,67.8571,52.8926,15.9905,38.5566,22.0237,5.8216,13.0,6.0,0.0,84.52,50.0,80.0,2.0,66.667,1.0,8.333,0.0,28.1402,0.3062,1437.0
25,TCS,31-03-2013,47.2868,43.8596,69.6429,51.6529,18.2335,40.8529,22.1968,6.173,11.0,6.0,0.0,91.01,54.546,83.333,2.0,66.667,1.0,9.091,0.0,29.7702,0.4452,1641.8
26,TCS,31-03-2014,45.7364,52.6316,69.6429,52.8926,23.6399,40.7257,21.856,6.2602,11.0,6.0,0.0,92.2,54.546,83.333,2.0,66.667,1.0,0.0,0.0,31.5771,0.4308,0.0
27,TCS,31-03-2015,44.186,57.8947,64.2857,52.0661,22.0093,34.8339,25.4606,6.8968,11.0,6.0,0.0,89.33,54.546,83.333,2.0,50.0,1.0,9.091,0.0,27.2896,0.4764,0.0
28,TCS,31-03-2016,49.6124,57.8947,64.2857,54.9587,20.9193,37.064,20.462,5.6421,11.0,6.0,0.0,97.92,54.546,83.333,2.0,50.0,1.0,9.091,0.0,29.1221,0.2686,0.0
29,TCS,31-03-2017,48.062,71.9298,58.9286,56.1983,21.2912,32.5552,18.228,4.7099,10.0,6.0,0.0,93.33,54.546,83.333,2.0,50.0,1.0,9.091,0.0,26.7483,0.2743,0.0
30,TCS,31-03-2018,48.062,71.9298,58.9286,56.1983,19.7562,29.422,21.2322,5.2263,10.0,6.0,0.0,93.22,60.0,80.0,2.0,66.667,1.0,10.0,0.0,24.1633,0.2278,0.0
31,TCS,31-03-2019,48.062,71.9298,58.9286,56.1983,22.2247,35.2042,24.1017,6.6345,11.0,7.0,0.0,91.66,63.636,80.0,3.0,75.0,1.0,18.182,5.0,27.9178,0.053,0.0
32,TCS,31-03-2020,56.05245385,75.43857308,65.04123462,62.69863846,23.11341538,29.35311154,22.42249231,5.656719231,10.0,6.0,0.0,94.645,55.66407692,75.25227273,2.0,59.59548485,1.0,10.55965385,0.0,22.05266,-4.675944118,189.5428571
33,TCS,31-03-2021,57.98617802,78.73527692,65.30615055,64.56722198,23.73356374,27.88806593,22.57606044,5.612508791,10.0,6.0,0.0,95.20164835,55.58903297,73.53896853,2.0,59.04172611,1.0,10.74701099,0.0,20.87214574,-5.588778431,157.6082143
34,TCS,31-03-2022,59.9199022,82.03198077,65.57106648,66.43580549,24.35371209,26.42302033,22.72962857,5.568298352,9.0,6.0,0.0,95.7582967,55.51398901,71.82566434,2.0,58.48796737,1.0,10.93436813,0.0,19.69163147,-6.501612745,125.6735714
