,0
0,360ONE
1,ABCAP
2,AUBANK
3,AXSB
4,BAF
5,BJFIN
6,BJHI
7,BOB
8,BOI
9,BOMH
10,CANF
11,CBK
12,CIFC
13,CUBK
14,DCBB
15,EDEL
16,FB
17,GICRE
18,HDFC
19,HDFCAMC
20,HDFCB
21,HDFCLIFE
22,ICICIBC
23,ICICIGI
24,IDBI
25,IDFC
26,IDFCFB
27,IFCI
28,IHFL
29,IIB
30,IIFL
31,INBK
32,IOB
33,IPRU
34,IRFC
35,JKBK
36,JM
37,KBL
38,KMB
39,KVB
40,LICHF
41,LTFH
42,MGFL
43,MMFS
44,MOFS
45,MUTH
46,NAM
47,NIACL
48,PAISALO
49,PJSB
50,PNB
51,POONAWAL
52,POWF
53,PTCIF
54,RECL
55,RELG
56,REPCO
57,SBILIFE
58,SBIN
59,SHFL
60,SIB
61,SUF
62,SWH
63,TICL
64,UCO
65,YES
