,Dates,Company Name,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,ALTMAN_Z_SCORE,TOBIN_Q_RATIO,RETURN_ON_ASSET,RETURN_COM_EQY,SALES_REV_TURN,IS_EPS,FNCL_LVRG,BOOK_VAL_PER_SH,PX_TO_BOOK_RATIO,NET_WORTH_GROWTH,TOT_DEBT_TO_COM_EQY,LIQUIDITY,Year only
0,2003-03-31,RELIANCE,41.6009,39.4219,11.4712,73.7754,1.9182,1.126,6.6316,13.6836,459100.7,7.1,2.0634,54.1562,1.2642,9.1467,64.7848,1.6639317043138073,2003
1,2004-03-31,RELIANCE,42.3817,39.8496,12.6135,74.5482,2.4134,1.5575,7.6018,15.7704,520253.4,9.1674,2.0745,62.1049,2.1456,14.6774,60.0178,1.0659461997696364,2004
2,2005-03-31,RELIANCE,43.1625,40.2773,13.7557,75.321,2.5853,1.4304,9.9542,20.045,665976.6,13.5335,2.0137,73.0312,1.8517,17.3516,45.7907,1.293555021000122,2005
3,2006-03-31,RELIANCE,37.5214,32.5883,11.8501,68.0012,3.264,1.6174,10.549,20.4039,830248.1,16.7017,1.9342,90.6864,2.172,24.1749,45.7451,1.1722173159020393,2006
4,2007-03-31,RELIANCE,42.9735,40.2597,17.0496,71.4931,2.6445,1.8288,6.5517,13.459,1137701.1,13.6714,2.0543,121.2381,2.7991,33.6894,39.6186,1.6352209673986737,2007
5,2008-03-31,RELIANCE,43.4966,40.2597,18.6215,71.4931,6.3089,5.4065,17.6519,25.397,1371466.6,33.2573,1.4388,145.6809,3.8518,25.3469,47.0074,1.916457516724241,2008
6,2009-03-31,RELIANCE,50.8601,47.0251,18.6215,86.7851,2.1325,1.3592,9.38,14.4788,1512240.1,26.7982,1.5436,218.4048,1.7289,41.8031,62.8886,1.302421944056825,2009
7,2010-03-31,RELIANCE,48.6068,40.2597,18.6215,86.7851,3.0345,1.6896,9.6942,18.6862,2037397.2,40.7607,1.9276,234.5165,2.2688,16.2848,45.8185,1.5319476190523207,2010
8,2011-03-31,RELIANCE,48.6068,40.2597,18.6215,86.7851,3.071,1.5159,6.806,13.0758,2658106.0,32.0734,1.9212,256.0449,2.0294,9.2899,54.608,1.4314592377553466,2011
9,2012-03-31,RELIANCE,49.1902,38.8402,21.7956,86.7851,2.8874,1.1655,6.2151,12.1924,3585010.0,32.7644,1.9617,281.7565,1.3195,9.9564,54.5587,1.8195510445061365,2012
10,2013-03-31,RELIANCE,49.7737,45.6056,21.7956,81.7881,2.736,1.1239,6.0559,11.8799,3970620.0,35.0843,1.9617,307.0956,1.2466,7.4419,58.8937,1.6194818954234789,2013
11,2014-03-31,RELIANCE,50.9003,45.6056,25.1814,81.7881,2.4722,1.1747,5.6858,11.8154,4344600.0,37.9156,2.078,334.7817,1.377,9.1357,69.8375,1.311863906353121,2014
12,2015-03-31,RELIANCE,57.4188,60.2235,29.5647,82.36,1.8092,1.0488,5.0499,11.2976,3754350.0,39.6789,2.2372,367.6907,1.1127,9.9715,73.6218,0.985738309527762,2015
13,2016-03-31,RELIANCE,56.7448,58.1999,29.5647,82.36,1.2414,1.1278,5.3911,13.2184,2739990.0,50.0109,2.4519,389.0434,1.3307,5.9758,78.0222,0.6901552221394083,2016
14,2017-03-31,RELIANCE,49.492,36.8167,29.1717,82.36,1.1646,1.1785,4.5604,12.0747,3053820.0,50.1893,2.6477,441.432,1.4821,13.8856,74.5515,0.6238998788857489,2017
15,2018-03-31,RELIANCE,58.0525,58.1999,30.9855,84.8585,1.2711,1.2808,4.7197,12.9483,3916770.0,60.3678,2.7434,490.9803,1.781,11.2992,74.5344,0.5855817391636823,2018
16,2019-03-31,RELIANCE,50.6287,44.0652,22.8235,84.8585,1.6766,1.4197,4.3533,11.633,5692090.0,66.1926,2.6722,647.1237,2.0868,31.8924,74.2692,0.7312855711233385,2019
17,2020-03-31,RELIANCE,50.6187,37.2999,29.5647,84.8585,1.3105,1.2167,3.6299,9.3651,5975350.0,62.4778,2.58,708.4008,1.5574,17.1059,76.1013,0.6254540875141675,2020
18,2021-03-31,RELIANCE,51.6648,40.441,29.5647,84.8585,2.3769,1.4953,3.9506,8.5181,4669240.0,76.37,2.1562,1035.4405,1.9345,54.4505,37.1516,1.3438544789024671,2021
19,2022-03-31,RELIANCE,56.946,46.0888,34.7642,89.8555,2.8206,1.6689,4.304,8.2053,6959630.0,92.0,1.9064,1152.0628,2.287,11.3276,36.1744,1.1242686174520997,2022
20,2023-03-31,RELIANCE,56.946,46.0888,34.7642,89.8555,2.3649,1.5358,4.2935,8.9212,8778350.0,98.59,2.0778,1058.0285,2.2032,-8.1609,46.7111,1.0746772526614494,2023
21,2003-03-31,TCS,32.7157,18.9076,26.2208,52.9456,21.7368,8.0727,40.2874,64.3408,55178.6,-18.8146,1.571,-5.1047,10.9475,61.2114,54.675,1.4207773934455064,2003
22,2004-03-31,TCS,34.0709,20.6415,26.622,54.8734,21.5483,7.993,46.5594,95.184,71227.3,-12.6905,2.0444,170.2888,10.8445,55.8637,36.6699,1.748746171399285,2004
23,2005-03-31,TCS,35.4261,22.3754,27.0232,56.8012,28.5989,13.3402,43.7576,71.3497,96636.4,5.2526,1.6306,9.0539,19.7711,68.4936,5.8377,2.4611700055087535,2005
24,2006-03-31,TCS,36.7814,24.1093,27.4244,58.729,32.8924,12.0115,44.7078,63.7212,132521.5,7.5788,1.4253,14.904,16.0653,67.7649,0.9611,2.696110662463855,2006
25,2007-03-31,TCS,26.8886,5.527,10.127,64.8706,21.7825,9.4859,39.8019,57.3764,186852.1,10.7625,1.4416,22.6088,13.6434,51.6963,5.7259,2.5624259687517625,2007
26,2008-03-31,TCS,42.7221,30.2024,33.0109,64.8706,13.3038,4.8207,32.688,47.7519,226195.2,12.84,1.4609,31.1669,6.5009,37.8529,3.9136,2.819133919118731,2008
27,2009-03-31,TCS,45.8908,34.4609,31.9831,71.1318,8.7667,2.639,26.1496,37.7569,278128.8,13.4075,1.4461,39.8524,3.3784,27.8677,3.6146,2.3293939926984097,2009
28,2010-03-31,TCS,46.0215,36.1824,33.7969,68.0012,14.3554,5.907,27.9849,41.1039,300289.2,17.835,1.473,46.9204,8.3189,17.7353,0.5622,2.159010053039634,2010
29,2011-03-31,TCS,47.9831,37.904,37.9686,68.0012,21.7758,7.3435,30.1889,42.3425,373245.1,23.135,1.4046,62.3456,9.4947,32.8752,0.3065,2.3511371054218655,2011
30,2012-03-31,TCS,47.9831,37.904,37.9686,68.0012,15.9905,5.8216,28.1402,38.5566,488938.3,26.535,1.3735,75.3089,7.76,20.7927,0.4293,2.219803659415791,2012
31,2013-03-31,TCS,43.9493,37.904,28.3555,65.5027,18.2335,6.173,29.7702,40.8529,629894.8,35.495,1.3745,98.4706,8.0011,30.7556,0.6026,2.6917480160244014,2013
32,2014-03-31,TCS,43.899,36.1824,29.9274,65.5027,23.6399,6.2602,31.5771,40.7257,818093.6,48.8,1.2897,141.2529,7.5508,43.5573,0.5365,3.879882547972219,2014
33,2015-03-31,TCS,45.1363,36.1824,26.7836,72.3359,17.3267,7.1038,27.8484,37.4676,946484.1,50.675,1.3454,129.2542,9.8796,-8.4945,0.7064,2.4024226507807764,2015
34,2016-03-31,TCS,51.5139,52.5521,29.5647,72.3359,20.9193,5.6421,29.374,39.112,1086460.0,61.585,1.3315,185.7185,6.7853,44.543,0.3347,4.0602479285760165,2016
35,2017-03-31,TCS,53.9483,52.5521,30.5925,78.5972,21.2912,4.7099,26.7483,32.5552,1179660.0,66.705,1.2171,224.1011,5.4257,20.667,0.3272,5.534454244762955,2017
36,2018-03-31,TCS,50.7293,39.3537,34.1294,78.5972,19.7562,5.2263,24.1633,29.422,1231040.0,67.095,1.2176,227.8681,6.2518,-1.2161,0.2831,4.555979358312767,2018
37,2019-03-31,TCS,54.9643,46.27,27.3579,91.1198,22.2247,6.6345,27.9178,35.2042,1464630.0,83.05,1.261,243.9942,8.2037,4.9461,0.0677,4.171843868864336,2019
38,2020-03-31,TCS,54.1495,39.1121,32.0738,91.1198,15.3336,5.9719,27.182,36.8165,1569490.0,86.19,1.3544,224.1934,8.1452,-8.1153,9.7188,3.33470066518847,2020
39,2021-03-31,TCS,58.9176,49.8037,35.7013,91.1198,20.0061,9.1799,25.5576,37.5606,1641770.0,86.71,1.4696,239.3992,13.2743,5.2647,8.8024,2.9067486458790808,2021
40,2022-03-31,TCS,58.9679,51.5252,34.1294,91.1198,19.7901,10.0403,27.9356,43.1382,1917540.0,103.62,1.5442,243.6123,15.3521,0.6595,8.7706,2.5574366602913745,2022
