,Year,Company Name,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,RETURN_ON_ASSET,RETURN_COM_EQY,BS_TOT_ASSET,FNCL_LVRG,PX_TO_BOOK_RATIO,Firm size
0,2003,RELIANCE,41.6009,39.4219,13.867,73.7754,6.6316,13.6836,640376.5,2.0634,1.2642,13.369811563616274
1,2004,RELIANCE,42.3817,39.8496,14.1272,74.5482,7.6018,15.7704,719554.1,2.0745,2.1456,13.486386993587784
2,2005,RELIANCE,43.1625,40.2773,14.3875,75.321,9.9542,20.045,813106.1,2.0137,1.8517,13.608616884320044
3,2006,RELIANCE,37.5214,32.5883,12.5071,68.0012,10.549,20.4039,968714.7,1.9342,2.172,13.783725420276111
4,2007,RELIANCE,42.9735,40.2597,14.3245,71.4931,6.5517,13.459,1480934.9,2.0543,2.7991,14.208184135497852
5,2008,RELIANCE,43.4966,40.2597,14.4989,71.4931,17.6519,25.397,730881.8,1.4388,3.8518,13.50200702935123
6,2009,RELIANCE,50.8601,47.0251,16.9534,86.7851,9.38,14.4788,2460753.8,1.5436,1.7289,14.715978283734906
7,2010,RELIANCE,48.6068,40.2597,16.2023,86.7851,9.6942,18.6862,2594451.9,1.9276,2.2688,14.768885838400502
8,2011,RELIANCE,48.6068,40.2597,16.2023,86.7851,6.806,13.0758,3075190.0,1.9212,2.0294,14.938877245931803
9,2012,RELIANCE,49.1902,38.8402,16.3967,86.7851,6.2151,12.1924,3271910.0,1.9617,1.3195,15.000884470214006
10,2013,RELIANCE,49.7737,45.6056,16.5912,81.7881,6.0559,11.8799,3623570.0,1.9617,1.2466,15.102970285683499
11,2014,RELIANCE,50.9003,45.6056,16.9668,81.7881,5.6858,11.8154,4288430.0,2.078,1.377,15.271431256555832
12,2015,RELIANCE,57.4188,60.2235,19.1396,82.36,5.0499,11.2976,5044860.0,2.2372,1.1127,15.433880461137031
13,2016,RELIANCE,56.7448,58.1999,18.9149,82.36,5.3911,13.2184,5989970.0,2.4519,1.3307,15.605596961731845
14,2017,RELIANCE,49.492,36.8167,16.4973,82.36,4.5604,12.0747,7123390.0,2.6477,1.4821,15.77889429367279
15,2018,RELIANCE,58.0525,58.1999,19.3508,84.8585,4.7197,12.9483,8163480.0,2.7434,1.781,15.91518110661579
16,2019,RELIANCE,50.6287,44.0652,16.8762,84.8585,4.3533,11.633,10024060.0,2.6722,2.0868,16.120498761174606
17,2020,RELIANCE,50.6187,37.2999,16.8729,84.8585,3.6299,9.3651,11659150.0,2.58,1.5574,16.271601837430058
18,2021,RELIANCE,51.6648,40.441,17.2216,84.8585,3.9506,8.5181,13212120.0,2.1562,1.9345,16.396645148103705
19,2022,RELIANCE,56.946,46.0888,18.982,89.8555,4.304,8.2053,14996650.0,1.9064,2.287,16.52333740079055
20,2023,RELIANCE,56.946,46.0888,18.982,89.8555,4.2935,8.9212,16074310.0,2.0778,2.2032,16.592732903371992
504,2003,ONGC,29.8624,15.7203,9.9541,53.3738,20.3409,31.8528,573850.31,1.5659,1.4144,13.260123857319526
505,2004,ONGC,30.8662,17.0349,10.2887,54.2212,14.7794,24.2978,695517.15,1.644,2.8988,13.452410948560669
