,Year,Company Name,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,FNCL_LVRG,RETURN_ON_ASSET,BS_TOT_ASSET,PX_TO_BOOK_RATIO,Firm size
630,2003,ADSEZ,-2.6226,-34.3423,-0.8742,53.6856,3.1481,7.8957,-287104.9929,8.3624,12.5676
631,2004,ADSEZ,1.1542,-29.3192,0.3847,55.459,3.113,7.8421,-224836.2282,8.056,12.3231
632,2005,ADSEZ,4.931,-24.296,1.6437,57.2325,3.0779,7.7886,-162567.4635,7.7497,11.9988
633,2006,ADSEZ,8.7078,-19.2729,2.9026,59.0059,3.0428,7.735,30197.9004,7.4433,10.3155
634,2007,ADSEZ,21.8891,0.0,7.2964,65.5027,2.6499,4.7196,58969.946,8.8601,10.9848
635,2008,ADSEZ,21.8891,0.0,7.2964,65.5027,2.346,6.6509,71094.988,4.426,11.1718
636,2009,ADSEZ,21.8891,0.0,7.2964,65.5027,2.4807,8.5452,87122.604,9.1676,11.3751
637,2010,ADSEZ,23.2773,0.0,7.7591,65.5027,2.3873,10.0706,95219.282,6.5383,11.4639
638,2011,ADSEZ,23.2773,0.0,7.7591,65.5027,3.9378,6.2197,259160.7,5.391,12.4652
639,2012,ADSEZ,28.2165,1.0873,9.4055,68.6334,4.192,6.9109,210595.9,4.4908,12.2577
640,2013,ADSEZ,31.355,1.0873,10.4517,78.0253,3.0172,7.6072,246771.6,4.4269,12.4162
641,2014,ADSEZ,28.3774,1.5705,9.4591,66.0747,2.9062,8.1549,320821.9,5.9265,12.6786
642,2015,ADSEZ,34.1113,17.759,11.3704,66.0747,2.9326,8.197,386059.9,3.8455,12.8637
643,2016,ADSEZ,42.9937,29.9003,14.3312,72.3359,2.6773,9.5181,435850.8,4.0512,12.9851
644,2017,ADSEZ,51.5139,51.8876,17.1713,72.3359,2.3772,8.0774,473751.2,3.5082,13.0684
645,2018,ADSEZ,59.32,50.1661,19.7733,84.8585,2.2949,7.6807,565274.6,3.2132,13.2451
646,2019,ADSEZ,59.6318,46.7834,19.8773,84.8585,2.3828,6.3389,622036.7,2.0057,13.3408
647,2020,ADSEZ,62.6496,52.2199,20.8832,84.8585,2.4628,7.2556,754636.6,4.688,13.534
648,2021,ADSEZ,71.2906,61.1598,23.7635,89.8555,2.4182,5.5793,996858.2,3.8949,13.8124
649,2022,ADSEZ,71.2906,61.1598,23.7635,89.8555,2.4505,4.9491,1149051.3,2.9945,13.9544
650,2023,ADSEZ,16.2615,-9.2266,5.4205,62.5527,2.9726,7.6279,-38029.9341,6.8306,10.5461
1218,2003,INDIGO,18.128,-22.4275,6.0427,95.1944,22.4839,33.9465,-412706.1162,-1413.1189,12.9305
1219,2004,INDIGO,19.291,-20.7232,6.4303,94.3021,21.7722,31.9094,-366910.3033,-1314.2255,12.8129
