,Year,Company Name,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,NET_WORTH_GROWTH,SALES_REV_TURN,RETURN_ON_ASSET,IS_EPS,WACC
12,2015,PAG,24.2833,5.5874,3.023,64.0879,33.8266,15139.652,25.9792,175.75,8.4855
13,2016,PAG,28.4579,1.2685,7.8295,76.0987,37.0017,17749.06,26.1672,207.57,10.0329
14,2017,PAG,29.3834,1.2685,10.6106,76.0987,25.6499,21057.59,25.3584,238.74,11.268
15,2018,PAG,37.451,16.0375,17.5635,78.5972,27.2641,25180.0,27.0391,311.08,10.6562
16,2019,PAG,38.306,16.0375,20.133,78.5972,-8.5338,28076.5,28.5158,353.19,10.7763
17,2020,PAG,46.4138,32.7394,27.7811,78.5972,5.7918,28938.2,23.972,307.72,15.0093
18,2021,PAG,51.5341,46.0284,29.867,78.5972,7.9286,28329.62,21.2015,305.35,9.2638
19,2022,PAG,56.2921,44.9109,32.7086,91.1198,23.0247,38864.65,28.188,481.03,10.5085
20,2023,PAG,54.0388,38.1456,32.7086,91.1198,25.943,47886.396,23.8033,510.0442,10.1647
33,2015,RW,17.111,0.0,0.0,51.2041,5.1318,52459.25,2.4766,18.38,10.5016
34,2016,RW,25.43,0.0,0.0,76.0987,8.4977,51041.83,1.7686,13.82,10.0568
35,2017,RW,25.43,0.0,0.0,76.0987,0.0465,53913.23,0.5016,4.16,9.295
36,2018,RW,36.7267,17.3059,16.6264,76.0987,8.3027,59064.069,2.37,21.93,9.8173
37,2019,RW,38.2456,17.3059,18.682,78.5972,7.8233,65822.834,2.6302,27.37,9.7572
38,2020,RW,37.964,16.4603,18.682,78.5972,21.6057,64823.671,2.7218,31.44,11.6772
39,2021,RW,37.964,16.4603,18.682,78.5972,-11.7245,34464.678,-4.1006,-44.63,9.2304
40,2022,RW,37.964,16.4603,18.682,78.5972,12.4792,61785.13,3.6893,39.11,10.0947
41,2023,RW,37.964,16.4603,18.682,78.5972,22.885,82147.183,6.7954,79.45,9.4539
54,2015,WLSI,23.2874,15.0408,1.0883,53.6123,29.0765,53025.11,9.9375,5.376,9.5572
