Number,Company
1,POWF IN Equity
2,IRFC IN Equity
3,RECL IN Equity
4,HUDCO IN Equity
5,IFCI IN Equity
6,HDFC IN Equity
7,LICHF IN Equity
8,CANF IN Equity
9,IHFL IN Equity
10,REPCO IN Equity
11,SI IN Equity
12,ABCAP IN Equity
13,LTFH IN Equity
14,UTNIFTY IN Equity
15,NAM IN Equity
16,CHOLAHLD IN Equity
17,CAMS IN Equity
18,RELG IN Equity
19,JM IN Equity
20,SWH IN Equity
21,BAF IN Equity
22,CIFC IN Equity
23,SBICARD IN Equity
24,MUTH IN Equity
25,MMFS IN Equity
26,POONAWAL IN Equity
27,SUF IN Equity
28,PIEL IN Equity
29,IIFL IN Equity
30,MGFL IN Equity
31,TICL IN Equity
32,PAISALO IN Equity
33,PTCIF IN Equity
34,SHFL IN Equity
35,CRISIL IN Equity
36,MAXF IN Equity
37,360ONE IN Equity
38,BJFIN IN Equity
39,BJHI IN Equity
40,EDEL IN Equity
41,SBIN IN Equity
42,BOB IN Equity
43,PNB IN Equity
44,UNBK IN Equity
45,CBK IN Equity
46,IOB IN Equity
47,INBK IN Equity
48,UCO IN Equity
49,BOI IN Equity
50,CBOI IN Equity
51,BOMH IN Equity
52,PJSB IN Equity
53,HDFCB IN Equity
54,ICICIBC IN Equity
55,KMB IN Equity
56,AXSB IN Equity
57,IIB IN Equity
58,IDBI IN Equity
59,IDFCFB IN Equity
60,YES IN Equity
61,BANDHAN IN Equity
62,FB IN Equity
63,IDFC IN Equity
64,KVB IN Equity
65,CUBK IN Equity
66,JKBK IN Equity
67,KBL IN Equity
68,SIB IN Equity
69,DCBB IN Equity
70,DCB IN Equity
71,AUBANK IN Equity
72,HDFCAMC IN Equity
73,ICRA IN Equity
74,CARE IN Equity
75,MCX IN Equity
76,ISEC IN Equity
77,MOFS IN Equity
78,ICICIGI IN Equity
79,GICRE IN Equity
80,NIACL IN Equity
81,HDFCLIFE IN Equity
82,SBILIFE IN Equity
83,IPRU IN Equity
84,PAYTM IN Equity
85,SHFL IN Equity
86,360ONE IN Equity
