,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,ALTMAN_Z_SCORE,TOBIN_Q_RATIO,RETURN_ON_ASSET,FNCL_LVRG,BOOK_VAL_PER_SH,PX_TO_BOOK_RATIO,NET_WORTH_GROWTH,TOT_DEBT_TO_COM_EQY,Liquidity,IND_RISK_DUMMY
ESG_DISCLOSURE_SCORE,1.0,0.7445546732333636,0.7975762004010286,0.7660053139163364,-0.016827133050094315,-0.05129854870218638,0.025636701920468203,0.028981382408716855,0.001193596985085406,-0.023764782883132225,-0.033080600264013355,-0.0016187761673066572,0.0010536369940030656,0.02063016677933385
ENVIRON_DISCLOSURE_SCORE,0.7445546732333636,1.0,0.754419370137767,0.3026926367268061,0.03348112432547312,0.010192435540012082,0.018068108399439457,0.035505113067491254,-0.00947633984692794,0.0117964409493702,-0.008483736292427813,-0.02149208658062498,0.0012383710635755834,-0.004536056974790078
SOCIAL_DISCLOSURE_SCORE,0.7975762004010286,0.754419370137767,1.0,0.44267150949998185,0.03219515507491213,0.012572177466447843,0.020202326896314855,0.01601307796550343,0.00295273274151275,0.03872193612693774,-0.02684917940141366,0.005325446227491602,0.009951564465848101,0.029052317828780164
GOVNCE_DISCLOSURE_SCORE,0.7660053139163364,0.3026926367268061,0.44267150949998185,1.0,-0.03768171288103427,-0.11104713076276633,0.05445640301852407,0.02197313761266173,0.006459901304727676,-0.09722959276570622,-0.019837934913412413,0.004114238611897871,-0.000507036022459951,-0.04197672971221749
ALTMAN_Z_SCORE,-0.016827133050094315,0.03348112432547312,0.03219515507491213,-0.03768171288103427,1.0,0.6860156052758929,-0.3306590138705916,-0.0317413541905117,-0.003360196903862911,0.309544380382353,0.21702995226913838,-0.02579432400666167,0.07351741183123413,-0.18593151647072004
TOBIN_Q_RATIO,-0.05129854870218638,0.010192435540012082,0.012572177466447843,-0.11104713076276633,0.6860156052758929,1.0,-0.11002001999164486,-0.015229669822610885,-0.003586242188671017,0.5208342233393849,0.06720278714544244,-0.009822708057694673,0.0036960013571089973,-0.15846109641329553
RETURN_ON_ASSET,0.025636701920468203,0.018068108399439457,0.020202326896314855,0.05445640301852407,-0.3306590138705916,-0.11002001999164486,1.0,-0.07320016109788154,-0.004915879778625043,-0.1085916595117914,-0.09833068380911801,-0.08696436193624625,-0.02504843415874602,-0.11548248280273538
FNCL_LVRG,0.028981382408716855,0.035505113067491254,0.01601307796550343,0.02197313761266173,-0.0317413541905117,-0.015229669822610885,-0.07320016109788154,1.0,-0.00135527673340987,0.024783891677080356,-0.08084105184970765,0.07646036304675058,-0.014692914760826506,0.057524197098824455
BOOK_VAL_PER_SH,0.001193596985085406,-0.00947633984692794,0.00295273274151275,0.006459901304727676,-0.003360196903862911,-0.003586242188671017,-0.004915879778625043,-0.00135527673340987,1.0,-0.002192207483365258,-0.002227290468242656,-0.0007263692346008935,0.0013207423894063238,0.01079972212785825
PX_TO_BOOK_RATIO,-0.023764782883132225,0.0117964409493702,0.03872193612693774,-0.09722959276570622,0.309544380382353,0.5208342233393849,-0.1085916595117914,0.024783891677080356,-0.002192207483365258,1.0,-0.04267940553981458,0.17775228719080421,-0.0034126899837293337,-0.09156503546716192
NET_WORTH_GROWTH,-0.033080600264013355,-0.008483736292427813,-0.02684917940141366,-0.019837934913412413,0.21702995226913838,0.06720278714544244,-0.09833068380911801,-0.08084105184970765,-0.002227290468242656,-0.04267940553981458,1.0,-0.050889740693060306,0.03968618347396305,-0.05917803569255686
TOT_DEBT_TO_COM_EQY,-0.0016187761673066572,-0.02149208658062498,0.005325446227491602,0.004114238611897871,-0.02579432400666167,-0.009822708057694673,-0.08696436193624625,0.07646036304675058,-0.0007263692346008935,0.17775228719080421,-0.050889740693060306,1.0,-0.009539481520656153,0.03526333924713897
Liquidity,0.0010536369940030656,0.0012383710635755834,0.009951564465848101,-0.000507036022459951,0.07351741183123413,0.0036960013571089973,-0.02504843415874602,-0.014692914760826506,0.0013207423894063238,-0.0034126899837293337,0.03968618347396305,-0.009539481520656153,1.0,-0.02008205493902091
IND_RISK_DUMMY,0.02063016677933385,-0.004536056974790078,0.029052317828780164,-0.04197672971221749,-0.18593151647072004,-0.15846109641329553,-0.11548248280273538,0.057524197098824455,0.01079972212785825,-0.09156503546716192,-0.05917803569255686,0.03526333924713897,-0.02008205493902091,1.0
