,Dates,Company Name,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,ALTMAN_Z_SCORE,TOBIN_Q_RATIO,RETURN_ON_ASSET,FNCL_LVRG,BOOK_VAL_PER_SH,PX_TO_BOOK_RATIO,NET_WORTH_GROWTH,BS_CUR_ASSET_REPORT,BS_CUR_LIAB,TOT_DEBT_TO_COM_EQY
0,2003-03-31,RELIANCE,41.6009,39.4219,11.4712,73.7754,1.9182,1.126,6.6316,2.0634,54.1562,1.2642,9.1467,205941.0,123767.7,64.7848
1,2004-03-31,RELIANCE,42.3817,39.8496,12.6135,74.5482,2.4134,1.5575,7.6018,2.0745,62.1049,2.1456,14.6774,187958.4,176330.1,60.0178
2,2005-03-31,RELIANCE,43.1625,40.2773,13.7557,75.321,2.5853,1.4304,9.9542,2.0137,73.0312,1.8517,17.3516,266132.0,205736.9,45.7907
3,2006-03-31,RELIANCE,37.5214,32.5883,11.8501,68.0012,3.264,1.6174,10.549,1.9342,90.6864,2.172,24.1749,278208.9,237335.6,45.7451
4,2007-03-31,RELIANCE,42.9735,40.2597,17.0496,71.4931,2.6445,1.8288,6.5517,2.0543,121.2381,2.7991,33.6894,331158.9,202516.3,39.6186
5,2008-03-31,RELIANCE,43.4966,40.2597,18.6215,71.4931,6.3089,5.4065,17.6519,1.4388,145.6809,3.8518,25.3469,514888.7,268666.9,47.0074
6,2009-03-31,RELIANCE,50.8601,47.0251,18.6215,86.7851,2.1325,1.3592,9.38,1.5436,218.4048,1.7289,41.8031,616196.4,473115.8,62.8886
7,2010-03-31,RELIANCE,48.6068,40.2597,18.6215,86.7851,3.0345,1.6896,9.6942,1.9276,234.5165,2.2688,16.2848,775786.7,506405.5,45.8185
8,2011-03-31,RELIANCE,48.6068,40.2597,18.6215,86.7851,3.071,1.5159,6.806,1.9212,256.0449,2.0294,9.2899,1074940.0,750940.0,54.608
9,2012-03-31,RELIANCE,49.1902,38.8402,21.7956,86.7851,2.8874,1.1655,6.2151,1.9617,281.7565,1.3195,9.9564,1448490.0,796070.0,54.5587
10,2013-03-31,RELIANCE,49.7737,45.6056,21.7956,81.7881,2.736,1.1239,6.0559,1.9617,307.0956,1.2466,7.4419,1559140.0,962740.0,58.8937
11,2014-03-31,RELIANCE,50.9003,45.6056,25.1814,81.7881,2.4722,1.1747,5.6858,2.078,334.7817,1.377,9.1357,1510690.0,1151560.0,69.8375
12,2015-03-31,RELIANCE,57.4188,60.2235,29.5647,82.36,1.8092,1.0488,5.0499,2.2372,367.6907,1.1127,9.9715,1365770.0,1385530.0,73.6218
13,2016-03-31,RELIANCE,56.7448,58.1999,29.5647,82.36,1.2414,1.1278,5.3911,2.4519,389.0434,1.3307,5.9758,1277850.0,1851540.0,78.0222
14,2017-03-31,RELIANCE,49.492,36.8167,29.1717,82.36,1.1646,1.1785,4.5604,2.6477,441.432,1.4821,13.8856,1468130.0,2353150.0,74.5515
15,2018-03-31,RELIANCE,58.0525,58.1999,30.9855,84.8585,1.2711,1.2808,4.7197,2.7434,490.9803,1.781,11.2992,1837860.0,3138520.0,74.5344
16,2019-03-31,RELIANCE,50.6287,44.0652,22.8235,84.8585,1.6766,1.4197,4.3533,2.6722,647.1237,2.0868,31.8924,2320530.0,3173220.0,74.2692
17,2020-03-31,RELIANCE,50.6187,37.2999,29.5647,84.8585,1.3105,1.2167,3.6299,2.58,708.4008,1.5574,17.1059,2582600.0,4129160.0,76.1013
18,2021-03-31,RELIANCE,51.6648,40.441,29.5647,84.8585,2.3769,1.4953,3.9506,2.1562,1035.4405,1.9345,54.4505,3730110.0,2775680.0,37.1516
19,2022-03-31,RELIANCE,56.946,46.0888,34.7642,89.8555,2.8206,1.6689,4.304,1.9064,1152.0628,2.287,11.3276,3470190.0,3086620.0,36.1744
20,2023-03-31,RELIANCE,56.946,46.0888,34.7642,89.8555,2.3649,1.5358,4.2935,2.0778,1058.0285,2.2032,-8.1609,4252960.0,3957430.0,46.7111
21,2003-03-31,TCS,32.7157,18.9076,26.2208,52.9456,21.7368,8.0727,40.2874,1.571,-5.1047,10.9475,61.2114,24234.2,17057.0,54.675
22,2004-03-31,TCS,34.0709,20.6415,26.622,54.8734,21.5483,7.993,46.5594,2.0444,170.2888,10.8445,55.8637,28661.6,16389.8,36.6699
23,2005-03-31,TCS,35.4261,22.3754,27.0232,56.8012,28.5989,13.3402,43.7576,1.6306,9.0539,19.7711,68.4936,36635.5,14885.4,5.8377
24,2006-03-31,TCS,36.7814,24.1093,27.4244,58.729,32.8924,12.0115,44.7078,1.4253,14.904,16.0653,67.7649,51747.8,19193.5,0.9611
25,2007-03-31,TCS,26.8886,5.527,10.127,64.8706,21.7825,9.4859,39.8019,1.4416,22.6088,13.6434,51.6963,90858.5,35458.0,5.7259
26,2008-03-31,TCS,42.7221,30.2024,33.0109,64.8706,13.3038,4.8207,32.688,1.4609,31.1669,6.5009,37.8529,126217.7,44771.8,3.9136
27,2009-03-31,TCS,45.8908,34.4609,31.9831,71.1318,8.7667,2.639,26.1496,1.4461,39.8524,3.3784,27.8677,150962.9,64807.8,3.6146
