,0
0,POWF
1,IRFC
2,RECL
3,HUDCO
4,IFCI
5,HDFC
6,LICHF
7,CANF
8,IHFL
9,REPCO
10,SI
11,ABCAP
12,LTFH
13,NAM
14,CHOLAHLD
15,CAMS
16,RELG
17,JM
18,SWH
19,BAF
20,CIFC
21,SBICARD
22,MUTH
23,MMFS
24,POONAWAL
25,SUF
26,PIEL
27,IIFL
28,MGFL
29,TICL
30,PAISALO
31,PTCIF
32,SHFL
33,CRISIL
34,MAXF
35,360ONE
36,BJFIN
37,BJHI
38,EDEL
39,SBIN
40,BOB
41,PNB
42,UNBK
43,CBK
44,IOB
45,INBK
46,UCO
47,BOI
48,CBOI
49,BOMH
50,PJSB
51,HDFCB
52,ICICIBC
53,KMB
54,AXSB
55,IIB
56,IDBI
57,IDFCFB
58,YES
59,BANDHAN
60,FB
61,IDFC
62,KVB
63,CUBK
64,JKBK
65,KBL
66,SIB
67,DCBB
68,DCB
69,AUBANK
70,HDFCAMC
71,ICRA
72,CARE
73,MCX
74,ISEC
75,MOFS
76,ICICIGI
77,GICRE
78,NIACL
79,HDFCLIFE
80,SBILIFE
81,IPRU
82,PAYTM
