,0
0,HDFCB
1,HDFCB
2,HDFCB
3,ICICIBC
4,ICICIBC
5,ICICIBC
6,HDFC
7,HDFC
8,SBIN
9,SBIN
10,SBIN
11,BAF
12,BAF
13,BAF
14,KMB
15,KMB
16,KMB
17,AXSB
18,AXSB
19,AXSB
20,BJFIN
21,BJFIN
22,BJFIN
23,HDFCLIFE
24,HDFCLIFE
25,HDFCLIFE
26,SBILIFE
27,SBILIFE
28,IIB
29,IIB
30,IIB
31,BOB
32,BOB
33,BOB
34,CIFC
35,CIFC
36,CIFC
37,BJHI
38,BJHI
39,BJHI
40,IPRU
41,IPRU
42,SBICARD
43,SBICARD
44,SHFL
45,SHFL
46,SHFL
47,PNB
48,PNB
49,PNB
50,POWF
51,IRFC
52,IRFC
53,IRFC
54,ICICIGI
55,ICICIGI
56,IDBI
57,IDBI
58,IDBI
59,UNBK
60,UNBK
61,RECL
62,RECL
63,RECL
64,IDFCFB
65,IDFCFB
66,IDFCFB
67,CBK
68,CBK
69,CBK
70,IOB
71,IOB
72,IOB
73,HDFCAMC
74,HDFCAMC
75,HDFCAMC
76,MUTH
77,MUTH
78,MUTH
79,AUBANK
80,AUBANK
81,YES
82,YES
83,YES
84,INBK
85,INBK
86,INBK
87,ABCAP
88,ABCAP
89,ABCAP
90,GICRE
91,GICRE
92,UCO
93,UCO
94,UCO
95,BANDHAN
96,BANDHAN
97,MMFS
98,MMFS
99,MMFS
100,BOI
101,BOI
102,BOI
103,FB
104,FB
105,FB
106,POONAWAL
107,POONAWAL
108,POONAWAL
109,LTFH
110,LTFH
111,LTFH
112,CBOI
113,CBOI
114,SUF
115,SUF
116,SUF
117,BOMH
118,BOMH
119,BOMH
120,PJSB
121,PJSB
122,PJSB
123,LICHF
124,LICHF
125,LICHF
126,IIFL
127,IIFL
128,IIFL
129,NIACL
130,NIACL
131,NIACL
132,IDFC
133,IDFC
134,IDFC
135,NAM
136,NAM
137,NAM
138,360ONE
139,360ONE
140,360ONE
141,MOFS
142,MOFS
143,MOFS
144,MGFL
145,MGFL
146,MGFL
147,TICL
148,TICL
149,TICL
150,CANF
151,CANF
152,CANF
153,KVB
154,KVB
155,KVB
156,IHFL
157,IHFL
158,IHFL
159,CUBK
160,CUBK
161,CUBK
162,JKBK
163,JKBK
164,JKBK
165,RELG
166,RELG
167,RELG
168,JM
169,JM
170,JM
171,KBL
172,KBL
173,KBL
174,EDEL
175,EDEL
176,EDEL
177,SWH
178,SWH
179,SWH
180,SIB
181,SIB
182,SIB
183,IFCI
184,IFCI
185,IFCI
186,DCBB
187,DCBB
188,DCBB
189,PAISALO
190,PAISALO
191,PAISALO
192,REPCO
193,SJET
194,SJET
195,SJET
196,SJET
197,PTCIF
198,PTCIF
199,PTCIF
