,0
0,5PAISA
1,AARTIPHA
2,AAVAS
3,ABSLAMC
4,ACCE
5,ACI
6,ADFL
7,ADVENZY
8,AEROFLEX
9,AETHER
10,AFFLE
11,AGAR
12,AHL
13,AHLU
14,ALBC
15,ALIC
16,AMIORG
17,ANANDRAT
18,ANGELONE
19,ANUP
20,ANURAS
21,ANZEN
22,APOLLO
23,APOLP
24,APTR
25,APTUS
26,ARJN
27,ARLF
28,ARTMSL
29,ARVINDFA
30,ARVSMART
31,ASG
32,ASTEL
33,ASTERDM
34,ATA
35,ATXL
36,AUPS
37,AVALON
38,AVNT
39,AVTH
40,AWL
41,AXET
42,BARBEQUE
43,BBEES
44,BBOX
45,BDL
46,BECTORS
47,BESTAGRO
48,BETF0425
49,BETF0431
50,BETF423
51,BETF430
52,BFIN
53,BGAL
54,BIGBLOC
55,BIJL
56,BIKAJI
57,BIRET
58,BLSIN
59,BNCO
60,BNRI
61,BOROLTD
62,BRSN
63,BSE
64,BSHSL
65,BWRL
66,CAMLN
67,CAMPUS
68,CANT
69,CAPACITE
70,CARTRADE
71,CARYSIL
72,CDSL
73,CF
74,CFIS
75,CGCL
76,CHALET
77,CHEMPLAS
78,CIGN
79,CLEAN
80,CLPL
81,CMSINFO
82,COCHIN
83,CONCORDB
84,CONF
85,COSMOFIR
86,CPSEBE
87,CRAFTSMA
88,CREDAG
89,CSBBANK
90,CTE
91,CTPI
92,CUBEINVI
93,CYIENTDL
94,DATA
95,DATAPATT
96,DBL
97,DCAL
98,DCIL
99,DCXINDIA
100,DEEPIND
101,DELHIVER
102,DEVYANI
103,DHANI
104,DIAMOND
105,DIVGIITT
106,DODLA
107,DOLLAR
108,DREAMFOL
109,DSIL
110,DSM
111,EASEMYTR
112,ELCN
113,EMIL
114,EMUDHRA
115,EPLL
116,EQUITASB
117,ERIS
118,ESAB
119,ETHOSLTD
120,EXPLEOSO
121,FAIRORGA
122,FIEM
123,FINEORG
124,FINOPB
125,FIVESTAR
126,FLTX
127,FLUOROCH
128,FMGI
129,FTXC
130,FUSION
131,GABR
132,GAEX
133,GALSURF
134,GBEES
135,GBSL
136,GDYR
137,GENE
138,GENSOL
139,GEOFSL
140,GEXP
141,GHFC
142,GICL
143,GIP
144,GLDM
145,GLS
146,GMM
147,GMRPUI
148,GNA
149,GNPL
150,GOAGRO
151,GOCOLORS
152,GOKUL
153,GOLI
154,GPIN
155,GREENP
156,GRINFRA
157,GRLM
158,GRSE
159,GRWRHITE
160,GTFL
161,GTIC
162,GTPL
163,GULP
164,HARDWYN
165,HARIOMPI
166,HARSHA
167,HBIO
168,HBPS
169,HCG
170,HEMIPROP
171,HERANBA
172,HGINFRA
173,HINDWARE
174,HMAAGRO
175,HNDFDS
176,HOMEFIRS
177,HPLE
178,HSS
179,HTFL
180,HUIN
181,ICIBANKP
182,ICICIB22
183,ICNIFTY
184,ICNT
185,ICPGOLD
186,IDEAFORG
187,IEX
188,IFGLRF
189,IGM
190,IIFLSEC
191,IKIO
192,IMAGICAA
193,IMFA
194,INDIGOPN
195,INDIGRID
196,INDOSTAR
197,INFIBEAM
198,INHP
199,INNOVANA
200,INOXGREE
201,INXW
202,IPL
203,IPMC
204,IRBINVIT
205,IRCON
206,IRS
207,ISMT
208,ITCE
209,ITDC
210,ITI
211,IWEL
212,JASH
213,JBEES
214,JBM
215,JBMA
216,JDDL
217,JINW
218,JIOFIN
219,JITFIN
220,JKIL
221,JMNA
222,JSLL
223,JTEKT
224,JTLIND
225,JUBLINGR
226,JUST
227,JWL
228,KALYANKJ
229,KAMOPAIN
230,KASH
231,KAYNES
232,KDDL
233,KE
234,KEII
235,KEKC
236,KFINTECH
237,KIMS
238,KINGFA
239,KIOCL
240,KKIL
241,KMC
242,KNRC
243,KONIFTY
244,KOTBANK
245,KPIG
246,KPITTECH
247,KPR
248,KRISHANA
249,KRSNAA
250,KSB
251,KSOLVES
252,LANCER
253,LANDMARK
254,LATENTVI
255,LBEES
256,LEMONTRE
257,LGBB
258,LICI
259,LIKHITHA
260,LMAX
261,LSILIN
262,LTFO
263,LUMX
264,LUX
265,LXCHEM
266,MAHLOG
267,MANKIND
268,MANORAMA
269,MANYAVAR
270,MAPMYIND
271,MASFIN
272,MAST
273,MATRIM
274,MAZDOCKS
275,MBAP
276,MDA
277,MDF
278,MEDANTA
279,MEDPLUS
280,MEGHFL
281,METROBRA
282,METROHL
283,MHSC
284,MIDHANI
285,MINDSPCE
286,MINF
287,MNCL
288,MNRT
289,MOCF
290,MOL
291,MORE
292,MPS
293,MSTCLTD
294,MSUMI
295,MTARTECH
296,MTEP
297,MVIL
298,NACL
299,NACLIND
300,NARH
301,NAZARA
302,NBEES
303,NCS
304,NDTV
305,NELC
306,NEOGEN
307,NETWEB
308,NEWGEN
309,NGLF
310,NHIT
311,NIITMTS
312,NILK
313,NINV
314,NLL
315,NSLNISP
316,NSPL
317,NUVOCO
318,NXST
319,OAH
320,ONT
321,OPIL
322,ORIENTEL
323,OTH
324,PARADEEP
325,PARAG
326,PARAS
327,PDSL
328,PGEL
329,PGHL
330,PGIL
331,PGINVIT
332,PIICL
333,PIRPHARM
334,PITTIENG
335,PIX
336,PLM
337,PNBHOUSI
338,PNPC
339,POKR
340,POLICYBZ
341,POWERIND
342,POWM
343,PPC
344,PRECAM
345,PRICOL
346,PRINCPIP
347,PRMC
348,PRUDENT
349,PSPPL
350,PTCIL
351,PWI
352,QUESS
