Dates,Company Name,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,NET_INCOME,ALTMAN_Z_SCORE,TOBIN_Q_RATIO,RETURN_ON_ASSET,RETURN_COM_EQY,SALES_REV_TURN,BS_TOT_ASSET,BS_CUR_ASSET_REPORT,BS_TOT_NON_CUR_ASSET,BS_TOTAL_LIABILITIES,BS_CUR_LIAB,NON_CUR_LIAB,BS_PURE_RETAINED_EARNINGS,BS_RETAIN_EARN,IS_TOTAL_EXPENSES,BS_SH_OUT,BS_GOODWILL,CF_DVD_PAID,IS_RD_EXPEND,NET_OPER_PROFIT_AFTER_TAX,NET_OPER_PROFIT_AFTER_TAX.1,NET_INCOME.1,EBIT,EBK_EMPL_TURNOVER_RATE,NUMBER_EMPLOYEES_CSR,WACC_COST_EQUITY,WACC,WACC_COST_DEBT,WACC.1,FNCL_LVRG,BOOK_VAL_PER_SH,IS_EPS,PX_TO_BOOK_RATIO,NET_WORTH_GROWTH,TOT_DEBT_TO_COM_EQY
2003-03-31,RELIANCE,41.6009,39.4219,11.4712,73.7754,40033.1,1.9182,1.126,6.6316,13.6836,459100.7,640376.5,205941.0,434435.5,,123767.7,211251.1,34704.1,131693.2,,5638.4552,,-6227.2,410.6,44646.6926,44646.6926,40033.1,54350.1,,,8.2562,6.8575,4.1281,6.8575,2.0634,54.1562,7.1,1.2642,9.1467,64.7848
2004-03-31,RELIANCE,42.3817,39.8496,12.6135,74.5482,51689.9,2.4134,1.5575,7.6018,15.7704,520253.4,719554.1,187958.4,531595.7,,176330.1,193046.9,57736.4,177988.4,,5638.4552,,-7315.1,335.9,52242.345,52242.345,51689.9,63775.1,,,6.7415,6.078,3.7062,6.078,2.0745,62.1049,9.1674,2.1456,14.6774,60.0178
2005-03-31,RELIANCE,43.1625,40.2773,13.7557,75.321,76282.3,2.5853,1.4304,9.9542,20.045,665976.6,813106.1,266132.0,546974.1,,205736.9,196432.0,92470.7,242351.7,,5626.8685,,-7718.4,613.2,75091.1009,75091.1009,76282.3,89829.5,,,9.3211,8.5722,5.5438,8.5722,2.0137,73.0312,13.5335,1.8517,17.3516,45.7907
2006-03-31,RELIANCE,37.5214,32.5883,11.8501,68.0012,93982.3,3.264,1.6174,10.549,20.4039,830248.1,968714.7,278208.9,690505.8,,237335.6,216526.3,92470.7,341692.9,,5626.8685,,-11067.7,1103.4,93842.3959,93842.3959,93982.3,109948.5,,,6.2654,6.3178,6.5667,6.3178,1.9342,90.6864,16.7017,2.172,24.1749,45.7451
2007-03-31,RELIANCE,42.9735,40.2597,17.0496,71.4931,80247.2,2.6445,1.8288,6.5517,13.459,1137701.1,1480934.9,331158.9,1149776.0,,202516.3,596227.8,30918.3,454956.7,,5626.8685,,-32739.4,3247.0,103826.5956,103826.5956,80247.2,137632.8,,,6.9562,6.8491,6.0924,6.8491,2.0543,121.2381,13.6714,2.7991,33.6894,39.6186
2008-03-31,RELIANCE,43.4966,40.2597,18.6215,71.4931,195213.8,6.3089,5.4065,17.6519,25.397,1371466.6,730881.8,514888.7,215993.1,,268666.9,389179.1,47973.6,610626.7,,5869.711,,0.0,3083.4,172859.5808,172859.5808,195213.8,204183.8,,,10.1396,9.6099,5.2696,9.6099,1.4388,145.6809,33.2573,3.8518,25.3469,47.0074
2009-03-31,RELIANCE,50.8601,47.0251,18.6215,86.7851,149687.2,2.1325,1.3592,9.38,14.4788,1512240.1,2460753.8,616196.4,1844557.4,1246799.4,473115.8,773683.6,54799.8,745174.4,,5551.918,0.0,-19084.7,3367.4,152645.9955,152645.9955,149687.2,182447.9,,,14.372,12.7223,8.1872,12.7223,1.5436,218.4048,26.7982,1.7289,41.8031,62.8886
2010-03-31,RELIANCE,48.6068,40.2597,18.6215,86.7851,245031.4,3.0345,1.6896,9.6942,18.6862,2037397.2,2594451.9,775786.7,1818665.2,1178686.8,506405.5,672281.3,133522.8,926308.6,,6012.4968,0.0,-22194.6,3450.4,161932.2767,161932.2767,245031.4,190152.1,,,11.8192,11.3914,9.2731,11.3914,1.9276,234.5165,40.7607,2.2688,16.2848,45.8185
2011-03-31,RELIANCE,48.6068,40.2597,18.6215,86.7851,192936.8,3.071,1.5159,6.806,13.0758,2658106.0,3075190.0,1074940.0,2000250.0,1526150.0,750940.0,775210.0,138730.0,1056530.0,,6018.553,0.0,-24310.0,5172.1,189667.1623,189667.1623,192936.8,236745.0,,,12.6365,11.8755,9.0474,11.8755,1.9212,256.0449,32.0734,2.0294,9.2899,54.608
2012-03-31,RELIANCE,49.1902,38.8402,21.7956,86.7851,197240.0,2.8874,1.1655,6.2151,12.1924,3585010.0,3271910.0,1448490.0,1823420.0,1569470.0,796070.0,773400.0,146520.0,1212080.0,,6013.8798,0.0,-27720.0,9890.0,173532.5701,173532.5701,197240.0,223620.0,,,11.2379,10.6729,9.3063,10.6729,1.9617,281.7565,32.7644,1.3195,9.9564,54.5587
2013-03-31,RELIANCE,49.7737,45.6056,21.7956,81.7881,208790.0,2.736,1.1239,6.0559,11.8799,3970620.0,3623570.0,1559140.0,2064430.0,1793530.0,962740.0,830790.0,143510.0,1368680.0,,5928.2841,0.0,-29490.0,11180.0,173321.0573,173321.0573,208790.0,217560.0,,,10.6355,10.1034,8.9772,10.1034,1.9617,307.0956,35.0843,1.2466,7.4419,58.8937
2014-03-31,RELIANCE,50.9003,45.6056,25.1814,81.7881,224930.0,2.4722,1.1747,5.6858,11.8154,4344600.0,4288430.0,1510690.0,2777740.0,2291970.0,1151560.0,1140410.0,140060.0,1532990.0,,5934.8224,0.0,-31230.0,12180.5,186801.2002,186801.2002,224930.0,238290.0,,,11.9302,11.0891,9.4307,11.0891,2.078,334.7817,37.9156,1.377,9.1357,69.8375
2015-03-31,RELIANCE,57.4188,60.2235,29.5647,82.36,235660.0,1.8092,1.0488,5.0499,11.2976,3754350.0,5044860.0,1365770.0,3679090.0,2829490.0,1385530.0,1443960.0,155900.0,1728580.0,,5942.4681,43970.0,-32680.0,12200.0,197954.7985,197954.7985,235660.0,260540.0,,24930.0,12.1978,10.5836,8.144,10.5836,2.2372,367.6907,39.6789,1.1127,9.9715,73.6218
2016-03-31,RELIANCE,56.7448,58.1999,29.5647,82.36,297450.0,1.2414,1.1278,5.3911,13.2184,2739990.0,5989970.0,1277850.0,4712120.0,3640850.0,1851540.0,1789310.0,46620.0,1856250.0,,5951.932,42540.0,-72590.0,12590.0,325243.388,325243.388,297450.0,421920.0,,141321.0,12.3591,10.6931,7.8517,10.6931,2.4519,389.0434,50.0109,1.3307,5.9758,78.0222
2017-03-31,RELIANCE,49.492,36.8167,29.1717,82.36,299010.0,1.1646,1.1785,4.5604,12.0747,3053820.0,7123390.0,1468130.0,5655260.0,4457130.0,2353150.0,2103980.0,95210.0,2171260.0,,5973.9439,48920.0,-530.0,14480.0,327817.2311,327817.2311,299010.0,439910.0,8.52,140483.0,11.3038,9.804,6.8222,9.804,2.6477,441.432,50.1893,1.4821,13.8856,74.5515
2018-03-31,RELIANCE,58.0525,58.1999,30.9855,84.8585,360750.0,1.2711,1.2808,4.7197,12.9483,3916770.0,8163480.0,1837860.0,6325620.0,5193030.0,3138520.0,2054510.0,123090.0,2466150.0,,5977.9592,58130.0,-39160.0,18240.0,419147.3152,419147.3152,360750.0,574190.0,11.17,187729.0,11.9805,10.5907,7.2697,10.5907,2.7434,490.9803,60.3678,1.781,11.2992,74.5344
