,0
0,RELIANCE
1,TCS
2,HDFCB
3,ICICIBC
4,INFO
5,HUVR
6,ITC
7,HDFC
8,SBIN
9,BHARTI
10,BAF
11,LT
12,KMB
13,HCLT
14,APNT
15,MSIL
16,AXSB
17,ADE
18,TTAN
19,SUNP
20,DMART
21,UTCEM
22,BJFIN
23,TTMT
24,ONGC
25,NTPC
26,WPRO
27,NEST
28,MM
29,JSTL
30,ADSEZ
31,PWGR
32,LTIM
33,TATA
34,ADANIGR
35,COAL
36,SIEM
37,HDFCLIFE
38,HZ
39,BJAUT
40,HNAL
41,SBILIFE
42,PIDI
43,IOCL
44,DLFU
45,ADANI
46,GRASIM
47,TECHM
48,VBL
49,BRIT
50,IIB
51,HNDL
52,GCPL
53,CIPLA
54,DABUR
55,BHE
56,BOB
57,DIVI
58,INDIGO
59,DRRD
60,ABB
61,CIFC
62,EIM
63,ADANIENS
64,HAVL
65,VEDL
66,SRCM
67,ACEM
68,ZOMATO
69,BJHI
70,IPRU
71,TPWR
72,TATACONS
73,SBICARD
74,POLYCAB
75,GAIL
76,BPCL
77,MRCO
78,UNSP
79,TRENT
80,SHFL
81,ATGL
82,SRF
83,JSP
84,BRGR
85,PNB
86,APHS
87,POWF
88,TVSL
89,IRFC
90,CGPOWER
91,MOTHERSO
92,LODHA
93,ICICIGI
94,IDBI
95,UNBK
96,ZYDUSLIF
97,RECL
98,TRP
99,IDFCFB
100,IH
101,HMCL
102,CBK
103,IOB
104,JSW
105,MAXHEALT
106,SI
107,INFOE
108,PI
109,BOS
110,PAYTM
111,AL
112,HDFCAMC
113,IRCTC
114,LIIL
115,CLGT
116,ASTRA
117,PG
118,TCOM
119,MUTH
120,NHPC
121,LPC
122,BHFC
123,BOOT
124,ARBP
125,AUBANK
126,YES
127,SCHFL
128,KKC
129,INDUSTOW
130,INBK
131,ABCAP
132,AWLTD
133,LTTS
134,APAT
135,MRF
136,MPHL
137,GPL
138,TELX
139,BIL
140,PAG
141,PATANJAL
142,UPLL
143,IDEA
144,SOIL
145,ALKEM
146,BHEL
147,PSYS
148,CCRI
149,OBER
150,UBBL
151,DALBHARA
152,GICRE
153,NYKAA
154,ACC
155,SAIL
156,JDSL
157,GMRI
158,UCO
159,BANDHAN
160,MMFS
161,NMDC
162,OFSS
163,BOI
164,HPCL
165,3M
166,HWA
167,ESCORTS
168,SONACOMS
169,AIAE
170,SUEL
171,UNOMINDA
172,FB
173,JUBI
174,TMX
175,COFORGE
176,IGL
177,PLNG
178,MAXF
179,PHNX
180,CRIN
181,POONAWAL
182,TPW
183,BIOS
184,SYNG
185,LTFH
186,GUJGA
187,DN
188,CBOI
189,FCT
190,DIXON
191,OINL
192,CRISIL
193,EMBASSY
194,SUF
195,VOLT
196,GLAND
197,BOMH
198,LLOYDSME
199,TTCH
200,KNPL
201,SF
202,HTSMF
203,ZCVCS
204,PEPL
205,SKF
206,JKCE
207,GWN
208,Z
209,PIEL
210,FORH
211,APTY
212,SJVN
213,TMKN
214,SUNTV
215,GLXO
216,RLXF
217,PJSB
218,KJC
219,ENDU
220,LICHF
221,IIFL
222,HMN
223,NFIL
224,EXID
225,IPCA
226,AJP
227,BATA
228,ATLP
229,GNP
230,BYRCS
231,CU
232,LAURUS
233,JBCP
234,NIACL
235,ABFRL
236,WHIRL
237,TRCL
238,ISEC
239,CIEINDIA
240,IDFC
241,NAM
242,CROMPTON
243,APR
244,VO
245,INMART
246,RMT
247,CHOLAHLD
248,GILL
249,DLPL
250,CYL
251,GDSP
252,NLC
253,ARTO
254,PVRINOX
255,PFIZ
256,360ONE
257,KECI
258,TTLS
259,IRB
260,EIH
261,RDCK
262,FNXC
263,MRPL
264,LMW
265,NTCPH
266,SANL
267,GUJS
268,ELEQ
269,HCP
270,ALPM
271,CPBI
272,HUDCO
273,BDE
274,FNXP
275,RJEX
276,SSOF
277,WESTLIFE
278,DCMS
279,AISG
280,CSTRL
281,BLSTR
282,HAPPSTMN
283,BSOFT
284,BRGD
285,MOFS
286,VGRD
287,BJE
288,RW
289,MGFL
290,AGIS
291,JYL
292,AACL
293,AKZO
294,TRIV
295,CRS
296,TICL
297,REDI
298,WLSI
299,ZENT
300,CAMS
301,CENT
302,CHMB
303,RMKF
304,BASF
305,FSOL
306,VTEX
307,JSAW
308,GP
309,CESC
310,GESCO
311,TTKPT
312,USM
313,AMRJ
314,KPIL
315,NJCC
316,ASTR
317,HMFC
318,ZYWL
319,TITAGARH
320,BEML
321,OLECTRA
322,INGR
323,MAHGL
324,INDA
325,CANF
326,SHRS
327,ALOK
328,HSCH
329,AMBER
330,KVB
331,KRB
332,GNFC
333,VIP
334,IHFL
335,SPPT
336,NBCC
337,GRIL
338,CUBK
339,CEAT
340,PRJ
341,BCORP
342,MLIFE
343,ENGR
344,JKBK
345,MCX
346,WLCO
347,PNCL
348,SCHN
349,EID
350,GETD
351,GODPI
352,SPADV
353,ION
354,TV18
355,CCLP
356,MHRL
357,SWAN
358,SHOP
359,ECLX
360,JKLC
361,GMDC
362,BRCM
363,SEML
364,DFPC
365,RELG
366,JM
367,JUBLPHAR
368,ICEM
369,BLA
370,MHS
371,GRAN
372,NETM
373,RPWR
374,ARCP
375,KOEL
376,GSFC
377,BBTC
378,VI
379,KBL
380,SECIS
381,SOTL
382,HEG
383,AGLL
384,KKB
385,RCF
386,JKI
387,PCBL
388,KKF
389,RELI
390,PRSMJ
391,MMTC
392,FDCLT
393,TRPC
394,GPPV
395,MRL
396,KNM
397,JKPAPER
398,NAVA
399,SYML
400,SCI
401,GHCL
402,VRLL
403,SOBHA
404,BORORENE
405,ICRA
406,VST
407,JPVL
408,RINDL
409,TC
410,GRAV
411,DBRL
412,ARTD
413,SRIN
414,SYR
415,EDEL
416,GALK
417,MRKS
418,IGSEC
419,NSE
420,SWH
421,LOG
422,SIB
423,MOIL
424,DELTA
425,TIIL
426,AGIG
427,TXMRE
428,HGSL
429,ARVND
430,TCO
431,RALI
432,FML
433,PRIVISCL
434,PEC
435,HCC
436,JFI
437,IBREL
438,GRFL
439,HEIM
440,JBIL
441,KKPC
442,PTCIN
443,ELSC
444,SHCR
445,TLNGR
446,DBCL
447,TPC
448,STR
449,HLEGLAS
450,ORCMNT
451,JI
452,WCPM
453,IFBI
454,IFCI
455,RGW
456,ASTM
457,NOCIL
458,BAJAJCON
459,RTPOW
460,HKCI
461,DCBB
462,SUNF
463,DAGRI
464,WONH
465,TATASLPL
466,SCHI
467,GRV
468,NELI
469,UFLX
470,KPDL
471,BCG
472,WPL
473,JCHAC
474,DITV
475,TIME
476,NFL
477,SLPA
478,EVRIN
479,VATW
480,GW
481,BJH
482,KSCL
483,SOMC
484,DCB
485,MAIT
486,JDPF
487,NGE
488,SGC
489,UL
490,INDR
491,HATH
492,TML
493,ASBL
494,SNGI
495,KSI
496,ORCP
497,OMDC
498,CFIN
499,APCO
500,BD
501,PAISALO
502,HONDAPWR
503,MUK
504,BLCL
505,NRBBR
506,DYTC
507,BFUT
508,JPA
509,PRIF
510,PURVA
511,ICP
512,CARE
513,MUNI
514,REPCO
515,TMC
516,ACCELYA
517,JAGP
518,FSC
519,IGLY
520,BEPL
521,HIL
522,GALL
523,STEC
524,MMFG
525,HOE
526,VCL
527,KS
528,GOCL
529,ASFI
530,ASMN
531,PKI
532,DEN
533,MTLM
534,ATFL
535,SPB
536,SM
537,STYRENIX
538,SEPC
539,SJET
540,EVI
541,NELCO
542,JSWISPL
543,PTCIF
544,HCBA
545,ANHPR
546,TNNP
547,KAUN
548,RAMCO
549,PSL
550,VKI
551,DCW
552,SKPI
553,GLIN
554,IGPL
555,RIIL
556,TRIL
557,63MOONS
558,REFX
559,KCPL
560,HMT
561,INST
562,PCCP
563,KIRI
564,SPET
565,MTNL
566,SVLS
567,DIGV
568,DPSC
569,STRT
570,TVTN
571,ANY
572,KTG
573,AREAL
574,MCF
575,OAL
576,EKCL
577,BCHI
578,PCJL
579,PRE
580,EXL
581,MPCH
